"District","R#","Region"
"Achievement First Hartford Academy District",4,"North Central"
"Amistad Academy District",2,"South Central"
"Andover School District",4,"North Central"
"Ansonia School District",2,"South Central"
"Area Cooperative Educational Services",2,"South Central"
"Ashford School District",3,"Eastern"
"Avon School District",6,"Central"
"Barkhamsted School District",5,"Western"
"Berlin School District",6,"Central"
"Bethany School District",2,"South Central"
"Bethel School District",5,"Western"
"Bloomfield School District",4,"North Central"
"Bolton School District",4,"North Central"
"Booker T Washington Academy District",2,"South Central"
"Bozrah School District",3,"Eastern"
"Branford School District",2,"South Central"
"Brass City Charter School District",5,"Western"
"Achievement First Bridgeport Academy District",1,"Southwest"
"Bridgeport School District",1,"Southwest"
"Bristol School District",6,"Central"
"Brookfield School District",5,"Western"
"Brooklyn School District",3,"Eastern"
"Canaan School District",5,"Western"
"Canterbury School District",3,"Eastern"
"Canton School District",6,"Central"
"Capital Preparatory Harbor School Inc. District",1,"Southwest"
"Capitol Region Education Council",4,"North Central"
"Chaplin School District",3,"Eastern"
"Charter School for Young Children on Asylum Hill",4,"North Central"
"Cheshire School District",5,"Western"
"Chester School District",3,"Eastern"
"Clinton School District",3,"Eastern"
"Colchester School District",3,"Eastern"
"Colebrook School District",5,"Western"
"Columbia School District",3,"Eastern"
"Common Ground High School District",2,"South Central"
"Connecticut Technical High School System",NA,NA
"Cooperative Educational Services",1,"Southwest"
"Cornwall School District",5,"Western"
"Coventry School District",3,"Eastern"
"Cromwell School District",3,"Eastern"
"Danbury School District",5,"Western"
"Darien School District",1,"Southwest"
"Deep River School District",3,"Eastern"
"Department of Mental Health and Addiction Services",NA,NA
"Derby School District",2,"South Central"
"East Granby School District",4,"North Central"
"East Haddam School District",3,"Eastern"
"East Hampton School District",3,"Eastern"
"East Hartford School District",4,"North Central"
"East Haven School District",2,"South Central"
"East Lyme School District",3,"Eastern"
"East Windsor School District",4,"North Central"
"Eastern Connecticut Regional Educational Services",3,"Eastern"
"Eastford School District",3,"Eastern"
"Easton School District",1,"Southwest"
"Western Connecticut Regional Educational Services",5,"Western"
"Ellington School District",4,"North Central"
"Elm City College Preparatory School District",2,"South Central"
"Elm City Montessori School District",2,"South Central"
"Enfield School District",4,"North Central"
"Essex School District",3,"Eastern"
"Explorations District",5,"Western"
"Fairfield School District",1,"Southwest"
"Farmington School District",6,"Central"
"Franklin School District",3,"Eastern"
"Glastonbury School District",4,"North Central"
"Granby School District",4,"North Central"
"Great Oaks Charter School Bridgeport",1,"Southwest"
"Greenwich School District",1,"Southwest"
"Griswold School District",3,"Eastern"
"Groton School District",3,"Eastern"
"Guilford School District",3,"Eastern"
"Hamden School District",2,"South Central"
"Hampton School District",3,"Eastern"
"Hartford School District",4,"North Central"
"Hartland School District",5,"Western"
"Hebron School District",4,"North Central"
"Highville Charter School District",2,"South Central"
"Integrated Day Charter School District",3,"Eastern"
"Interdistrict School for Arts and Communication District",3,"Eastern"
"Jumoke Academy District",4,"North Central"
"Kent School District",5,"Western"
"Killingly School District",3,"Eastern"
"LEARN",NA,NA
"Lebanon School District",3,"Eastern"
"Ledyard School District",3,"Eastern"
"Lisbon School District",3,"Eastern"
"Litchfield School District",5,"Western"
"Madison School District",3,"Eastern"
"Manchester School District",4,"North Central"
"Mansfield School District",3,"Eastern"
"Marlborough School District",4,"North Central"
"Meriden School District",6,"Central"
"Middletown School District",3,"Eastern"
"Milford School District",2,"South Central"
"Monroe School District",1,"Southwest"
"Montville School District",3,"Eastern"
"Naugatuck School District",5,"Western"
"New Beginnings Inc. Family Academy District",1,"Southwest"
"New Britain School District",6,"Central"
"New Canaan School District",1,"Southwest"
"New Fairfield School District",5,"Western"
"New Hartford School District",5,"Western"
"New Haven School District",2,"South Central"
"Newington School District",3,"Eastern"
"New London School District",5,"Western"
"New Milford School District",6,"Central"
"Newtown School District",5,"Western"
"Norfolk School District",5,"Western"
"North Branford School District",2,"South Central"
"North Canaan School District",5,"Western"
"North Haven School District",2,"South Central"
"North Stonington School District",3,"Eastern"
"Norwalk School District",1,"Southwest"
"Norwich Free Academy District",3,"Eastern"
"Norwich School District",3,"Eastern"
"Odyssey Community School District",4,"North Central"
"Old Saybrook School District",3,"Eastern"
"Orange School District",2,"South Central"
"Oxford School District",5,"Western"
"Park City Prep Charter School District",1,"Southwest"
"Path Academy District",3,"Eastern"
"Plainfield School District",3,"Eastern"
"Plainville School District",6,"Central"
"Plymouth School District",6,"Central"
"Pomfret School District",3,"Eastern"
"Portland School District",3,"Eastern"
"Preston School District",3,"Eastern"
"Putnam School District",3,"Eastern"
"Redding School District",5,"Western"
"Regional School District 01",5,"Western"
"Regional School District 04",3,"Eastern"
"Regional School District 05",2,"South Central"
"Regional School District 06",5,"Western"
"Regional School District 07",5,"Western"
"Regional School District 08",4,"North Central"
"Regional School District 09",5,"Western"
"Regional School District 10",6,"Central"
"Regional School District 11",3,"Eastern"
"Regional School District 12",5,"Western"
"Regional School District 13",3,"Eastern"
"Regional School District 14",5,"Western"
"Regional School District 15",5,"Western"
"Regional School District 16",5,"Western"
"Regional School District 17",3,"Eastern"
"Regional School District 18",3,"Eastern"
"Regional School District 19",3,"Eastern"
"Ridgefield School District",5,"Western"
"Rocky Hill School District",6,"Central"
"Salem School District",3,"Eastern"
"Salisbury School District",5,"Western"
"Scotland School District",3,"Eastern"
"Seymour School District",2,"South Central"
"Sharon School District",5,"Western"
"Shelton School District",2,"South Central"
"Sherman School District",5,"Western"
"Side By Side Charter School District",1,"Southwest"
"Simsbury School District",6,"Central"
"Somers School District",4,"North Central"
"Southington School District",4,"North Central"
"South Windsor School District",6,"Central"
"Sprague School District",3,"Eastern"
"Stafford School District",4,"North Central"
"Stamford Academy District",1,"Southwest"
"Stamford Charter School for Excellence District",1,"Southwest"
"Stamford School District",1,"Southwest"
"Sterling School District",3,"Eastern"
"Stonington School District",3,"Eastern"
"Stratford School District",1,"Southwest"
"Suffield School District",4,"North Central"
"The Bridge Academy District",1,"Southwest"
"The Gilbert School District",5,"Western"
"Thomaston School District",5,"Western"
"Thompson School District",3,"Eastern"
"Tolland School District",4,"North Central"
"Torrington School District",5,"Western"
"Trailblazers Academy District",1,"Southwest"
"Trumbull School District",1,"Southwest"
"Unified School District #1",NA,NA
"Unified School District #2",4,"North Central"
"Union School District",3,"Eastern"
"Vernon School District",4,"North Central"
"Voluntown School District",3,"Eastern"
"Wallingford School District",6,"Central"
"Waterbury School District",5,"Western"
"Waterford School District",3,"Eastern"
"Watertown School District",5,"Western"
"West Hartford School District",4,"North Central"
"West Haven School District",2,"South Central"
"Westbrook School District",3,"Eastern"
"Weston School District",1,"Southwest"
"Westport School District",1,"Southwest"
"Wethersfield School District",6,"Central"
"Willington School District",3,"Eastern"
"Wilton School District",1,"Southwest"
"Winchester School District",5,"Western"
"Windham School District",3,"Eastern"
"Windsor Locks School District",4,"North Central"
"Windsor School District",4,"North Central"
"Wolcott School District",5,"Western"
"Woodbridge School District",2,"South Central"
"Woodstock Academy District",3,"Eastern"
"Woodstock School District",3,"Eastern"
