"Year","Domain","FixedDistrict","Level 1","Level 2","Level 3"
"2016-17","Numeracy","Woodstock Academy District",NA,NA,NA
"2016-17","Numeracy","Woodstock School District",13.4,31.3,55.2
"2016-17","Personal","Achievement First Bridgeport Academy District",21.3,61.7,17
"2016-17","Personal","Achievement First Hartford Academy District",11.5,46.2,42.3
"2016-17","Personal","Amistad Academy District",8.6,28,63.4
"2016-17","Personal","Andover School District",NA,NA,NA
"2016-17","Personal","Ansonia School District",17.8,50.6,31.7
"2016-17","Personal","Area Cooperative Educational Services",27,41.9,31.1
"2016-17","Personal","Ashford School District",2.9,5.7,91.4
"2016-17","Personal","Avon School District",4.5,29.8,65.7
"2016-17","Personal","Barkhamsted School District",NA,NA,NA
"2016-17","Personal","Berlin School District",25.7,53.2,21.1
"2016-17","Personal","Bethany School District",14.7,44.1,41.2
"2016-17","Personal","Bethel School District",5.3,31.7,63
"2016-17","Personal","Bloomfield School District",17.3,57.4,25.3
"2016-17","Personal","Bolton School District",18,40,42
"2016-17","Personal","Booker T Washington Academy District",21.4,63.1,15.5
"2016-17","Personal","Bozrah School District",NA,NA,NA
"2016-17","Personal","Branford School District",10.7,51.5,37.8
"2016-17","Personal","Brass City Charter School District",14.7,58.8,26.5
"2016-17","Personal","Bridgeport School District",24.3,44.2,31.5
"2016-17","Personal","Bristol School District",17.4,43.1,39.5
"2016-17","Personal","Brookfield School District",8.3,22.9,68.8
"2016-17","Personal","Brooklyn School District",18.4,33.3,48.3
"2016-17","Personal","Canaan School District",NA,NA,NA
"2016-17","Personal","Canterbury School District",8.7,80.4,10.9
"2016-17","Personal","Canton School District",8.2,27.8,63.9
"2016-17","Personal","Capital Preparatory Harbor School Inc. District",NA,NA,NA
"2016-17","Personal","Capitol Region Education Council",14.8,48.3,36.9
"2016-17","Personal","Chaplin School District",NA,NA,NA
"2016-17","Personal","Charter School for Young Children on Asylum Hill",NA,NA,NA
"2016-17","Personal","Cheshire School District",13.3,47.1,39.6
"2016-17","Personal","Chester School District",7.1,14.3,78.6
"2016-17","Personal","Clinton School District",12.9,55.4,31.7
"2016-17","Personal","Colchester School District",11.5,38.8,49.6
"2016-17","Personal","Colebrook School District",NA,NA,NA
"2016-17","Personal","Columbia School District",19.6,54.3,26.1
"2016-17","Personal","Common Ground High School District",NA,NA,NA
"2016-17","Personal","Connecticut",19.5,43,37.5
"2016-17","Personal","Connecticut Technical High School System",NA,NA,NA
"2016-17","Personal","Cooperative Educational Services",7.3,12.2,80.5
"2016-17","Personal","Cornwall School District",NA,NA,NA
"2016-17","Personal","Coventry School District",29.3,52.6,18.1
"2016-17","Personal","Cromwell School District",14.3,47.9,37.9
"2016-17","Personal","Danbury School District",26.7,44.2,29.1
"2016-17","Personal","Darien School District",2.7,21.6,75.6
"2016-17","Personal","Deep River School District",23.3,43.3,33.3
"2016-17","Personal","Department of Mental Health and Addiction Services",NA,NA,NA
"2016-17","Personal","Derby School District",15.5,36.1,48.5
"2016-17","Personal","Eastern Connecticut Regional Educational Services",NA,NA,NA
"2016-17","Personal","Eastford School District",NA,NA,NA
"2016-17","Personal","East Granby School District",6.3,9.5,84.1
"2016-17","Personal","East Haddam School District",11.1,50,38.9
"2016-17","Personal","East Hampton School District",11.5,46,42.4
"2016-17","Personal","East Hartford School District",40.4,42.5,17.1
"2016-17","Personal","East Haven School District",23.1,55.6,21.3
"2016-17","Personal","East Lyme School District",33.7,43,23.3
"2016-17","Personal","Easton School District",12.8,38.5,48.7
"2016-17","Personal","East Windsor School District",23.4,51.9,24.7
"2016-17","Personal","Ellington School District",15,22.8,62.3
"2016-17","Personal","Elm City College Preparatory School District",6.5,16.1,77.4
"2016-17","Personal","Elm City Montessori School District",11.8,26.5,61.8
"2016-17","Personal","Enfield School District",21.9,46.2,31.9
"2016-17","Personal","Essex School District",22.7,45.5,31.8
"2016-17","Personal","Explorations District",NA,NA,NA
"2016-17","Personal","Fairfield School District",12.8,38.1,49.1
"2016-17","Personal","Farmington School District",11.2,31.5,57.3
"2016-17","Personal","Franklin School District",NA,NA,NA
"2016-17","Personal","Glastonbury School District",20.3,36.6,43.1
"2016-17","Personal","Granby School District",4.3,12.9,82.8
"2016-17","Personal","Great Oaks Charter School Bridgeport",NA,NA,NA
"2016-17","Personal","Greenwich School District",7.7,32.6,59.8
"2016-17","Personal","Griswold School District",23.7,55.1,21.2
"2016-17","Personal","Groton School District",21.4,49.1,29.5
"2016-17","Personal","Guilford School District",3.6,19,77.4
"2016-17","Personal","Hamden School District",24.7,39.3,36.1
"2016-17","Personal","Hampton School District",NA,NA,NA
"2016-17","Personal","Hartford School District",25.1,43.6,31.3
"2016-17","Personal","Hartland School District",NA,NA,NA
"2016-17","Personal","Hebron School District",4.3,24.3,71.4
"2016-17","Personal","Highville Charter School District",42.5,27.5,30
"2016-17","Personal","Integrated Day Charter School District",25.8,41.9,32.3
"2016-17","Personal","Interdistrict School for Arts and Communication District",NA,NA,NA
"2016-17","Personal","Jumoke Academy District",2.7,49.3,47.9
"2016-17","Personal","Kent School District",NA,NA,NA
"2016-17","Personal","Killingly School District",18.8,39.4,41.9
"2016-17","Personal","LEARN",21.6,32.4,46
"2016-17","Personal","Lebanon School District",9.3,61.1,29.6
"2016-17","Personal","Ledyard School District",19.6,41.1,39.2
"2016-17","Personal","Lisbon School District",21.6,32.4,45.9
"2016-17","Personal","Litchfield School District",24.6,47.8,27.5
"2016-17","Personal","Madison School District",8.5,32,59.5
"2016-17","Personal","Manchester School District",41.9,43,15.1
"2016-17","Personal","Mansfield School District",14.4,52.6,33
"2016-17","Personal","Marlborough School District",9.8,29.5,60.7
"2016-17","Personal","Meriden School District",25.4,41.6,33
"2016-17","Personal","Middletown School District",29.9,41.8,28.3
"2016-17","Personal","Milford School District",10.5,33.1,56.5
"2016-17","Personal","Monroe School District",9.9,53.2,36.9
"2016-17","Personal","Montville School District",16.5,41.1,42.4
"2016-17","Personal","Naugatuck School District",15.5,38.2,46.4
"2016-17","Personal","New Beginnings Inc. Family Academy District",15.8,50.9,33.3
"2016-17","Personal","New Britain School District",32.7,39.2,28.1
"2016-17","Personal","New Canaan School District",12,38.7,49.3
"2016-17","Personal","New Fairfield School District",8.8,52.2,39
"2016-17","Personal","New Hartford School District",19,81,NA
"2016-17","Personal","New Haven School District",22,47.9,30.1
"2016-17","Personal","Newington School District",24.8,50.4,24.8
"2016-17","Personal","New London School District",17,60.4,22.6
"2016-17","Personal","New Milford School District",25.8,52,22.2
"2016-17","Personal","Newtown School District",7.6,42.7,49.8
"2016-17","Personal","Norfolk School District",NA,NA,NA
"2016-17","Personal","North Branford School District",22.7,55.5,21.8
"2016-17","Personal","North Canaan School District",NA,35.7,64.3
"2016-17","Personal","North Haven School District",10.3,57.7,31.9
"2016-17","Personal","North Stonington School District",4.1,4.1,91.8
"2016-17","Personal","Norwalk School District",18.6,45.8,35.7
"2016-17","Personal","Norwich Free Academy District",NA,NA,NA
"2016-17","Personal","Norwich School District",28.5,45.6,25.9
"2016-17","Personal","Odyssey Community School District",25,75,NA
"2016-17","Personal","Old Saybrook School District",11.4,60,28.6
"2016-17","Personal","Orange School District",5.7,43.6,50.7
"2016-17","Personal","Oxford School District",10.1,37,52.9
"2016-17","Personal","Park City Prep Charter School District",NA,NA,NA
"2016-17","Personal","Path Academy District",NA,NA,NA
"2016-17","Personal","Plainfield School District",11.6,55.8,32.7
"2016-17","Personal","Plainville School District",11.9,38.1,50
"2016-17","Personal","Plymouth School District",22.9,41,36.1
"2016-17","Personal","Pomfret School District",20,44,36
"2016-17","Personal","Portland School District",26.5,52,21.4
"2016-17","Personal","Preston School District",22.6,64.5,12.9
"2016-17","Personal","Putnam School District",12.2,39,48.8
"2016-17","Personal","Redding School District",10.7,35,54.4
"2016-17","Personal","Regional School District 01",NA,NA,NA
"2016-17","Personal","Regional School District 04",NA,NA,NA
"2016-17","Personal","Regional School District 05",NA,NA,NA
"2016-17","Personal","Regional School District 06",2.5,32.5,65
"2016-17","Personal","Regional School District 07",NA,NA,NA
"2016-17","Personal","Regional School District 08",NA,NA,NA
"2016-17","Personal","Regional School District 09",NA,NA,NA
"2016-17","Personal","Regional School District 10",3.7,28.9,67.4
"2016-17","Personal","Regional School District 11",NA,NA,NA
"2016-17","Personal","Regional School District 12",3.3,20,76.7
"2016-17","Personal","Regional School District 13",18.3,52.2,29.6
"2016-17","Personal","Regional School District 14",24,52.1,24
"2016-17","Personal","Regional School District 15",6.1,44.6,49.3
"2016-17","Personal","Regional School District 16",16.9,48.5,34.6
"2016-17","Personal","Regional School District 17",2.1,11.3,86.5
"2016-17","Personal","Regional School District 18",3.1,63.1,33.8
"2016-17","Personal","Regional School District 19",NA,NA,NA
"2016-17","Personal","Ridgefield School District",17,29.8,53.3
"2016-17","Personal","Rocky Hill School District",15.9,43.1,41
"2016-17","Personal","Salem School District",17.8,26.7,55.6
"2016-17","Personal","Salisbury School District",40.6,34.4,25
"2016-17","Personal","Scotland School District",NA,NA,NA
"2016-17","Personal","Seymour School District",23.8,34.4,41.7
"2016-17","Personal","Sharon School District",NA,NA,NA
"2016-17","Personal","Shelton School District",27.3,53.4,19.3
"2016-17","Personal","Sherman School District",3.6,7.1,89.3
"2016-17","Personal","Side By Side Charter School District",13,43.5,43.5
"2016-17","Personal","Simsbury School District",11.1,41.2,47.7
"2016-17","Personal","Somers School District",13.3,41.3,45.3
"2016-17","Personal","Southington School District",22.3,57.8,20
"2016-17","Personal","South Windsor School District",11.7,36.7,51.6
"2016-17","Personal","Sprague School District",5.7,20,74.3
"2016-17","Personal","Stafford School District",9.3,32.4,58.3
"2016-17","Personal","Stamford Academy District",NA,NA,NA
"2016-17","Personal","Stamford Charter School for Excellence District",NA,NA,NA
"2016-17","Personal","Stamford School District",19.3,40.4,40.3
"2016-17","Personal","Sterling School District",24.3,59.5,16.2
"2016-17","Personal","Stonington School District",10.7,25.4,63.9
"2016-17","Personal","Stratford School District",23.2,43,33.9
"2016-17","Personal","Suffield School District",12.4,45,42.6
"2016-17","Personal","The Bridge Academy District",NA,NA,NA
"2016-17","Personal","The Gilbert School District",NA,NA,NA
"2016-17","Personal","Thomaston School District",37.5,48.2,14.3
"2016-17","Personal","Thompson School District",30.7,58.7,10.7
"2016-17","Personal","Tolland School District",30.7,58.4,10.9
"2016-17","Personal","Torrington School District",21.2,51,27.8
"2016-17","Personal","Trailblazers Academy District",NA,NA,NA
"2016-17","Personal","Trumbull School District",21.8,51.4,26.8
"2016-17","Personal","Unified School District #1",NA,NA,NA
"2016-17","Personal","Unified School District #2",NA,NA,NA
"2016-17","Personal","Union School District",NA,NA,NA
"2016-17","Personal","Vernon School District",22.3,41.2,36.6
"2016-17","Personal","Voluntown School District",4.3,17.4,78.3
"2016-17","Personal","Wallingford School District",19,41.7,39.3
"2016-17","Personal","Waterbury School District",24.2,46.6,29.2
"2016-17","Personal","Waterford School District",16.1,56.9,27
"2016-17","Personal","Watertown School District",21.7,36,42.3
"2016-17","Personal","Westbrook School District",8.9,41.1,50
"2016-17","Personal","Western Connecticut Regional Educational Services",NA,NA,NA
"2016-17","Personal","West Hartford School District",17.5,45,37.5
"2016-17","Personal","West Haven School District",34.7,50.6,14.6
"2016-17","Personal","Weston School District",4.7,21.9,73.4
"2016-17","Personal","Westport School District",8,43.1,48.9
"2016-17","Personal","Wethersfield School District",23,53.6,23.4
"2016-17","Personal","Willington School District",9.8,31.7,58.5
"2016-17","Personal","Wilton School District",0.9,11.4,87.7
"2016-17","Personal","Winchester School District",30.3,50,19.7
"2016-17","Personal","Windham School District",31.5,51.4,17.1
"2016-17","Personal","Windsor Locks School District",18.9,46.2,34.9
"2016-17","Personal","Windsor School District",26,48.6,25.4
"2016-17","Personal","Wolcott School District",9.3,45,45.7
"2016-17","Personal","Woodbridge School District",27.4,56.8,15.8
"2016-17","Personal","Woodstock Academy District",NA,NA,NA
"2016-17","Personal","Woodstock School District",19.4,23.9,56.7
"2016-17","Physical","Achievement First Bridgeport Academy District",17,56.4,26.6
"2016-17","Physical","Achievement First Hartford Academy District",NA,71.8,28.2
"2016-17","Physical","Amistad Academy District",NA,5.4,94.6
"2016-17","Physical","Andover School District",NA,NA,NA
"2016-17","Physical","Ansonia School District",10.6,37.2,52.2
"2016-17","Physical","Area Cooperative Educational Services",21.6,52.7,25.7
"2016-17","Physical","Ashford School District",NA,25.7,74.3
"2016-17","Physical","Avon School District",2,25.8,72.2
"2016-17","Physical","Barkhamsted School District",NA,NA,NA
"2016-17","Physical","Berlin School District",18.1,66.7,15.2
"2016-17","Physical","Bethany School District",14.7,41.2,44.1
"2016-17","Physical","Bethel School District",5.8,23.1,71.2
"2016-17","Physical","Bloomfield School District",8.6,45.7,45.7
"2016-17","Physical","Bolton School District",4,36,60
"2016-17","Physical","Booker T Washington Academy District",19,54.8,26.2
"2016-17","Physical","Bozrah School District",NA,NA,NA
"2016-17","Physical","Branford School District",8.7,48.5,42.9
"2016-17","Physical","Brass City Charter School District",2.9,38.2,58.8
"2016-17","Physical","Bridgeport School District",14.4,45.9,39.8
"2016-17","Physical","Bristol School District",10.1,41.8,48
"2016-17","Physical","Brookfield School District",7,11.5,81.5
"2016-17","Physical","Brooklyn School District",13.8,28.7,57.5
"2016-17","Physical","Canaan School District",NA,NA,NA
"2016-17","Physical","Canterbury School District",6.5,89.1,4.3
"2016-17","Physical","Canton School District",3.1,19.6,77.3
"2016-17","Physical","Capital Preparatory Harbor School Inc. District",NA,NA,NA
"2016-17","Physical","Capitol Region Education Council",8.1,43.1,48.9
"2016-17","Physical","Chaplin School District",NA,NA,NA
"2016-17","Physical","Charter School for Young Children on Asylum Hill",NA,NA,NA
"2016-17","Physical","Cheshire School District",7.1,34.6,58.3
"2016-17","Physical","Chester School District",3.6,3.6,92.9
"2016-17","Physical","Clinton School District",5,46.5,48.5
"2016-17","Physical","Colchester School District",6.5,32.4,61.2
"2016-17","Physical","Colebrook School District",NA,NA,NA
"2016-17","Physical","Columbia School District",15.2,52.2,32.6
"2016-17","Physical","Common Ground High School District",NA,NA,NA
"2016-17","Physical","Connecticut",12.5,41.2,46.3
"2016-17","Physical","Connecticut Technical High School System",NA,NA,NA
"2016-17","Physical","Cooperative Educational Services",2.4,7.3,90.2
"2016-17","Physical","Cornwall School District",NA,NA,NA
"2016-17","Physical","Coventry School District",11.2,65.5,23.3
"2016-17","Physical","Cromwell School District",5,45.7,49.3
"2016-17","Physical","Danbury School District",18.2,43.5,38.3
"2016-17","Physical","Darien School District",1.4,10.1,88.5
"2016-17","Physical","Deep River School District",20,40,40
"2016-17","Physical","Department of Mental Health and Addiction Services",NA,NA,NA
"2016-17","Physical","Derby School District",6.2,32,61.9
"2016-17","Physical","Eastern Connecticut Regional Educational Services",NA,NA,NA
"2016-17","Physical","Eastford School District",NA,NA,NA
"2016-17","Physical","East Granby School District",1.6,4.8,93.7
"2016-17","Physical","East Haddam School District",5.6,53.7,40.7
"2016-17","Physical","East Hampton School District",11.5,33.8,54.7
"2016-17","Physical","East Hartford School District",28.9,43.9,27.2
"2016-17","Physical","East Haven School District",17.2,58,24.9
"2016-17","Physical","East Lyme School District",15.7,52.3,32
"2016-17","Physical","Easton School District",9,30.8,60.3
"2016-17","Physical","East Windsor School District",16.9,50.6,32.5
"2016-17","Physical","Ellington School District",13.2,12,74.9
"2016-17","Physical","Elm City College Preparatory School District",3.2,4.8,91.9
"2016-17","Physical","Elm City Montessori School District",2.9,8.8,88.2
"2016-17","Physical","Enfield School District",11.9,47.3,40.8
"2016-17","Physical","Essex School District",18.2,38.6,43.2
"2016-17","Physical","Explorations District",NA,NA,NA
"2016-17","Physical","Fairfield School District",7.4,30,62.5
"2016-17","Physical","Farmington School District",3,20.6,76.4
"2016-17","Physical","Franklin School District",NA,NA,NA
"2016-17","Physical","Glastonbury School District",15.8,37.7,46.5
"2016-17","Physical","Granby School District",NA,7.5,92.5
"2016-17","Physical","Great Oaks Charter School Bridgeport",NA,NA,NA
"2016-17","Physical","Greenwich School District",4.5,29.3,66.2
"2016-17","Physical","Griswold School District",12.7,48.3,39
"2016-17","Physical","Groton School District",19.4,49.1,31.5
"2016-17","Physical","Guilford School District",1,16.4,82.6
"2016-17","Physical","Hamden School District",13.3,49.6,37.1
"2016-17","Physical","Hampton School District",NA,NA,NA
"2016-17","Physical","Hartford School District",15.7,45.6,38.8
"2016-17","Physical","Hartland School District",NA,NA,NA
"2016-17","Physical","Hebron School District",2.9,27.1,70
"2016-17","Physical","Highville Charter School District",27.5,40,32.5
"2016-17","Physical","Integrated Day Charter School District",9.7,22.6,67.7
"2016-17","Physical","Interdistrict School for Arts and Communication District",NA,NA,NA
"2016-17","Physical","Jumoke Academy District",2.7,23.3,74
"2016-17","Physical","Kent School District",NA,NA,NA
"2016-17","Physical","Killingly School District",13.1,31.3,55.6
"2016-17","Physical","LEARN",9.4,21.3,69.3
"2016-17","Physical","Lebanon School District",3.7,61.1,35.2
"2016-17","Physical","Ledyard School District",10.1,51.3,38.6
"2016-17","Physical","Lisbon School District",8.1,45.9,45.9
"2016-17","Physical","Litchfield School District",30.4,52.2,17.4
"2016-17","Physical","Madison School District",3.3,34.6,62.1
"2016-17","Physical","Manchester School District",29.6,53.3,17.1
"2016-17","Physical","Mansfield School District",12.4,50.5,37.1
"2016-17","Physical","Marlborough School District",6.6,19.7,73.8
"2016-17","Physical","Meriden School District",17.8,46.1,36.1
"2016-17","Physical","Middletown School District",19.9,48.8,31.3
"2016-17","Physical","Milford School District",5.9,25.5,68.5
"2016-17","Physical","Monroe School District",3.9,52.7,43.3
"2016-17","Physical","Montville School District",10.1,38,51.9
"2016-17","Physical","Naugatuck School District",8.8,37.5,53.6
"2016-17","Physical","New Beginnings Inc. Family Academy District",5.3,10.5,84.2
"2016-17","Physical","New Britain School District",23.3,41.1,35.6
"2016-17","Physical","New Canaan School District",4.4,24.5,71.2
"2016-17","Physical","New Fairfield School District",3.7,52.2,44.1
"2016-17","Physical","New Hartford School District",9.5,81,9.5
"2016-17","Physical","New Haven School District",13.3,46,40.8
"2016-17","Physical","Newington School District",15.8,56,28.2
"2016-17","Physical","New London School District",13.1,63.6,23.3
"2016-17","Physical","New Milford School District",25.5,46.9,27.6
"2016-17","Physical","Newtown School District",4.9,42.2,52.9
"2016-17","Physical","Norfolk School District",NA,NA,NA
"2016-17","Physical","North Branford School District",7.6,64.7,27.7
"2016-17","Physical","North Canaan School District",2.4,21.4,76.2
"2016-17","Physical","North Haven School District",8.5,44.1,47.4
"2016-17","Physical","North Stonington School District",NA,6.1,93.9
"2016-17","Physical","Norwalk School District",10.1,45.1,44.8
"2016-17","Physical","Norwich Free Academy District",NA,NA,NA
"2016-17","Physical","Norwich School District",20.3,41.8,37.9
"2016-17","Physical","Odyssey Community School District",11.1,88.9,NA
"2016-17","Physical","Old Saybrook School District",11.4,38.6,50
"2016-17","Physical","Orange School District",3.6,39.3,57.1
"2016-17","Physical","Oxford School District",9.2,32.8,58
"2016-17","Physical","Park City Prep Charter School District",NA,NA,NA
"2016-17","Physical","Path Academy District",NA,NA,NA
"2016-17","Physical","Plainfield School District",9.5,49.7,40.8
"2016-17","Physical","Plainville School District",9.1,33,58
"2016-17","Physical","Plymouth School District",20.5,42.2,37.3
"2016-17","Physical","Pomfret School District",12,36,52
"2016-17","Physical","Portland School District",17.3,49,33.7
"2016-17","Physical","Preston School District",22.6,48.4,29
"2016-17","Physical","Putnam School District",7.3,35.4,57.3
"2016-17","Physical","Redding School District",6.8,29.1,64.1
"2016-17","Physical","Regional School District 01",NA,NA,NA
"2016-17","Physical","Regional School District 04",NA,NA,NA
"2016-17","Physical","Regional School District 05",NA,NA,NA
"2016-17","Physical","Regional School District 06",7.5,12.5,80
"2016-17","Physical","Regional School District 07",NA,NA,NA
"2016-17","Physical","Regional School District 08",NA,NA,NA
"2016-17","Physical","Regional School District 09",NA,NA,NA
"2016-17","Physical","Regional School District 10",5.2,23,71.9
"2016-17","Physical","Regional School District 11",NA,NA,NA
"2016-17","Physical","Regional School District 12",3.3,16.7,80
"2016-17","Physical","Regional School District 13",2.6,65.2,32.2
"2016-17","Physical","Regional School District 14",8.3,66.7,25
"2016-17","Physical","Regional School District 15",4.7,29.6,65.7
"2016-17","Physical","Regional School District 16",13.1,49.2,37.7
"2016-17","Physical","Regional School District 17",0.7,9.2,90.1
"2016-17","Physical","Regional School District 18",NA,46.2,53.8
"2016-17","Physical","Regional School District 19",NA,NA,NA
"2016-17","Physical","Ridgefield School District",10,26.6,63.3
"2016-17","Physical","Rocky Hill School District",7.7,46.7,45.6
"2016-17","Physical","Salem School District",8.9,28.9,62.2
"2016-17","Physical","Salisbury School District",40.6,9.4,50
"2016-17","Physical","Scotland School District",NA,NA,NA
"2016-17","Physical","Seymour School District",13.2,43.7,43
"2016-17","Physical","Sharon School District",NA,NA,NA
"2016-17","Physical","Shelton School District",14.4,63.5,22.1
"2016-17","Physical","Sherman School District",NA,7.1,92.9
"2016-17","Physical","Side By Side Charter School District",NA,26.1,73.9
"2016-17","Physical","Simsbury School District",10.3,31.3,58.4
"2016-17","Physical","Somers School District",9.3,26.7,64
"2016-17","Physical","Southington School District",16,59.8,24.3
"2016-17","Physical","South Windsor School District",6.7,25.1,68.2
"2016-17","Physical","Sprague School District",5.7,14.3,80
"2016-17","Physical","Stafford School District",0.9,29.6,69.4
"2016-17","Physical","Stamford Academy District",NA,NA,NA
"2016-17","Physical","Stamford Charter School for Excellence District",NA,NA,NA
"2016-17","Physical","Stamford School District",11.4,37.2,51.4
"2016-17","Physical","Sterling School District",8.1,51.4,40.5
"2016-17","Physical","Stonington School District",9,14.8,76.2
"2016-17","Physical","Stratford School District",12.9,37,50.1
"2016-17","Physical","Suffield School District",6.2,47.3,46.5
"2016-17","Physical","The Bridge Academy District",NA,NA,NA
"2016-17","Physical","The Gilbert School District",NA,NA,NA
"2016-17","Physical","Thomaston School District",30.4,44.6,25
"2016-17","Physical","Thompson School District",13.3,72,14.7
"2016-17","Physical","Tolland School District",8,69.3,22.6
"2016-17","Physical","Torrington School District",17.9,38.8,43.3
"2016-17","Physical","Trailblazers Academy District",NA,NA,NA
"2016-17","Physical","Trumbull School District",16.5,57.4,26.1
"2016-17","Physical","Unified School District #1",NA,NA,NA
"2016-17","Physical","Unified School District #2",NA,NA,NA
"2016-17","Physical","Union School District",NA,NA,NA
"2016-17","Physical","Vernon School District",11.3,40.8,47.9
"2016-17","Physical","Voluntown School District",NA,13,87
"2016-17","Physical","Wallingford School District",8.9,38,53.1
"2016-17","Physical","Waterbury School District",21.1,44.3,34.6
"2016-17","Physical","Waterford School District",11.7,60.6,27.7
"2016-17","Physical","Watertown School District",14.8,36,49.2
"2016-17","Physical","Westbrook School District",5.4,42.9,51.8
"2016-17","Physical","Western Connecticut Regional Educational Services",NA,NA,NA
"2016-17","Physical","West Hartford School District",6.7,38.6,54.6
"2016-17","Physical","West Haven School District",26.6,56.1,17.4
"2016-17","Physical","Weston School District",1.6,10.2,88.3
"2016-17","Physical","Westport School District",3.4,43.4,53.2
"2016-17","Physical","Wethersfield School District",16.3,48.5,35.1
"2016-17","Physical","Willington School District",12.2,34.1,53.7
"2016-17","Physical","Wilton School District",0.4,5.7,93.9
"2016-17","Physical","Winchester School District",13.6,80.3,6.1
"2016-17","Physical","Windham School District",16.4,57.3,26.2
"2016-17","Physical","Windsor Locks School District",4.7,45.3,50
"2016-17","Physical","Windsor School District",14.9,39.8,45.3
"2016-17","Physical","Wolcott School District",6.4,40.7,52.9
"2016-17","Physical","Woodbridge School District",18.9,67.4,13.7
"2016-17","Physical","Woodstock Academy District",NA,NA,NA
"2016-17","Physical","Woodstock School District",10.4,22.4,67.2
