"Town","FIPS.x","Year","Mental Health","Substance Abuse","Mental Health and Substance Abuse","Total Num","Age Range","Pop","MOE","FIPS.y","Region"
"Andover",901301080,2016,29,27,6,62,"Total",3211,148,901301080,"North Central Region"
"Ansonia",900901220,2016,511,453,55,1019,"Total",18950,30,900901220,"South Central Region"
"Ashford",901501430,2016,54,81,7,142,"Total",4270,25,901501430,"Eastern Region"
"Avon",900302060,2016,27,125,2,154,"Total",18352,37,900302060,"Central Region"
"Barkhamsted",900502760,2016,26,56,2,84,"Total",3710,17,900502760,"Western Region"
"Beacon Falls",900903250,2016,31,114,7,152,"Total",6075,20,900903250,"Western Region"
"Berlin",900304300,2016,63,262,18,343,"Total",20529,29,900304300,"Central Region"
"Bethany",900904580,2016,15,47,4,66,"Total",5521,24,900904580,"South Central Region"
"Bethel",900104720,2016,113,200,15,328,"Total",19369,31,900104720,"Western Region"
"Bethlehem",900504930,2016,37,33,5,75,"Total",3492,27,900504930,"Western Region"
"Bloomfield",900305910,2016,306,262,21,589,"Total",20687,36,900305910,"North Central Region"
"Bolton",901306260,2016,64,48,7,119,"Total",4950,25,901306260,"North Central Region"
"Bozrah",901106820,2016,41,36,3,80,"Total",2607,19,901106820,"Eastern Region"
"Branford",900907310,2016,512,375,87,974,"Total",28084,28,900907310,"South Central Region"
"Bridgeport",900108070,2016,2363,2904,508,5775,"Total",147022,78,900108070,"Southwest Region"
"Bridgewater",900508210,2016,5,14,1,20,"Total",1668,114,900508210,"Western Region"
"Bristol",900308490,2016,429,1527,143,2099,"Total",60437,36,900308490,"Central Region"
"Brookfield",900108980,2016,87,148,15,250,"Total",16970,25,900108980,"Western Region"
"Brooklyn",901509190,2016,169,109,16,294,"Total",8258,27,901509190,"Eastern Region"
"Burlington",900310100,2016,14,128,5,147,"Total",9540,22,900310100,"Central Region"
"Canaan",900510940,2016,38,46,7,91,"Total",1181,125,900510940,"Western Region"
"Canterbury",901512130,2016,42,65,9,116,"Total",5078,39,901512130,"Eastern Region"
"Canton",900312270,2016,30,107,3,140,"Total",10319,38,900312270,"Central Region"
"Chaplin",901513810,2016,45,41,9,95,"Total",2370,145,901513810,"Eastern Region"
"Cheshire",900914160,2016,120,187,16,323,"Total",29254,40,900914160,"Western Region"
"Chester",900714300,2016,26,36,5,67,"Total",4290,31,900714300,"Eastern Region"
"Clinton",900715350,2016,87,202,15,304,"Total",13072,58,900715350,"Eastern Region"
"Colchester",901115910,2016,97,196,22,315,"Total",16112,19,901115910,"Eastern Region"
"Colebrook",900516050,2016,8,13,2,23,"Total",1585,153,900516050,"Western Region"
"Columbia",901316400,2016,53,56,5,114,"Total",5456,18,901316400,"Eastern Region"
"Connecticut",9,2016,51523,53639,7702,112864,"Total",3588570,0,9,"Statewide"
"Cornwall",900517240,2016,14,6,0,20,"Total",1336,105,900517240,"Western Region"
"Coventry",901317800,2016,141,152,22,315,"Total",12446,23,901317800,"Eastern Region"
"Cromwell",900718080,2016,86,176,13,275,"Total",14049,28,900718080,"Eastern Region"
"Danbury",900118500,2016,1038,1145,166,2349,"Total",83890,54,900118500,"Western Region"
"Darien",900118850,2016,46,43,5,94,"Total",21519,28,900118850,"Southwest Region"
"Deep River",900719130,2016,43,77,3,123,"Total",4552,40,900719130,"Eastern Region"
"Derby",900919550,2016,243,298,44,585,"Total",12755,25,900919550,"South Central Region"
"Durham",900720810,2016,27,69,1,97,"Total",7322,18,900720810,"Eastern Region"
"Eastford",901521860,2016,8,15,2,25,"Total",1734,105,901521860,"Eastern Region"
"East Granby",900322070,2016,55,49,5,109,"Total",5236,120,900322070,"North Central Region"
"East Haddam",900722280,2016,35,92,7,134,"Total",9098,19,900722280,"Eastern Region"
"East Hampton",900722490,2016,77,173,16,266,"Total",12878,28,900722490,"Eastern Region"
"East Hartford",900322630,2016,1814,783,159,2756,"Total",50834,42,900322630,"North Central Region"
"East Haven",900922910,2016,515,547,97,1159,"Total",29015,24,900922910,"South Central Region"
"East Lyme",901123400,2016,70,206,20,296,"Total",18929,32,901123400,"Eastern Region"
"Easton",900123890,2016,19,41,0,60,"Total",7591,37,900123890,"Southwest Region"
"East Windsor",900324800,2016,332,153,25,510,"Total",11393,23,900324800,"North Central Region"
"Ellington",901325360,2016,150,138,17,305,"Total",15880,34,901325360,"North Central Region"
"Enfield",900325990,2016,1506,644,116,2266,"Total",44515,36,900325990,"North Central Region"
"Essex",900726270,2016,57,49,6,112,"Total",6594,24,900726270,"Eastern Region"
"Fairfield",900126620,2016,192,342,25,559,"Total",61114,35,900126620,"Southwest Region"
"Farmington",900327600,2016,61,271,15,347,"Total",25569,25,900327600,"Central Region"
"Franklin",901129910,2016,13,17,1,31,"Total",1965,88,901129910,"Eastern Region"
"Glastonbury",900331240,2016,284,231,31,546,"Total",34677,29,900331240,"North Central Region"
"Goshen",900532290,2016,30,29,2,61,"Total",2919,19,900532290,"Western Region"
"Granby",900332640,2016,85,80,10,175,"Total",11292,21,900332640,"North Central Region"
"Greenwich",900133620,2016,227,218,17,462,"Total",62418,41,900133620,"Southwest Region"
"Griswold",901133900,2016,169,204,20,393,"Total",11848,25,901133900,"Eastern Region"
"Groton",901134250,2016,317,410,38,765,"Total",39763,34,901134250,"Eastern Region"
"Guilford",900934950,2016,153,165,42,360,"Total",22382,31,900934950,"Eastern Region"
"Haddam",900735230,2016,45,76,8,129,"Total",8303,34,900735230,"Eastern Region"
"Hamden",900935650,2016,576,458,59,1093,"Total",61476,31,900935650,"South Central Region"
"Hampton",901536000,2016,25,56,3,84,"Total",1774,107,901536000,"Eastern Region"
"Hartford",900337070,2016,3541,4924,813,9278,"Total",124320,49,900337070,"North Central Region"
"Hartland",900337140,2016,5,12,2,19,"Total",2087,117,900337140,"Western Region"
"Harwinton",900537280,2016,48,38,5,91,"Total",5541,24,900537280,"Western Region"
"Hebron",901337910,2016,62,93,9,164,"Total",9580,20,901337910,"North Central Region"
"Kent",900540290,2016,36,29,2,67,"Total",2881,27,900540290,"Western Region"
"Killingly",901540500,2016,577,332,87,996,"Total",17189,29,901540500,"Eastern Region"
"Killingworth",900740710,2016,24,54,0,78,"Total",6464,17,900740710,"Eastern Region"
"Lebanon",901142390,2016,61,101,20,182,"Total",7259,20,901142390,"Eastern Region"
"Ledyard",901142600,2016,89,173,15,277,"Total",15008,25,901142600,"Eastern Region"
"Lisbon",901143230,2016,36,64,4,104,"Total",4323,28,901143230,"Eastern Region"
"Litchfield",900543370,2016,119,89,11,219,"Total",8277,29,900543370,"Western Region"
"Madison",900944560,2016,76,144,18,238,"Total",18247,21,900944560,"Eastern Region"
"Manchester",900344700,2016,2086,829,162,3077,"Total",58073,32,900344700,"North Central Region"
"Mansfield",901344910,2016,140,158,19,317,"Total",26009,25,901344910,"Eastern Region"
"Marlborough",900345820,2016,41,65,10,116,"Total",6426,18,900345820,"North Central Region"
"Meriden",900946520,2016,1206,1023,202,2431,"Total",60203,38,900946520,"Central Region"
"Middlebury",900946940,2016,43,60,3,106,"Total",7606,22,900946940,"Western Region"
"Middlefield",900747080,2016,24,38,5,67,"Total",4403,18,900747080,"Eastern Region"
"Middletown",900747360,2016,993,931,160,2084,"Total",46933,50,900747360,"Eastern Region"
"Milford",900947535,2016,808,723,138,1669,"Total",53430,46,900947535,"South Central Region"
"Monroe",900148620,2016,37,159,7,203,"Total",19784,33,900148620,"Southwest Region"
"Montville",901148900,2016,179,263,32,474,"Total",19505,36,901148900,"Eastern Region"
"Morris",900549460,2016,23,26,3,52,"Total",2353,153,900549460,"Western Region"
"Naugatuck",900949950,2016,380,552,36,968,"Total",31625,45,900949950,"Western Region"
"New Britain",900350440,2016,1048,2288,315,3651,"Total",72876,40,900350440,"Central Region"
"New Canaan",900150580,2016,58,70,5,133,"Total",20248,32,900150580,"Southwest Region"
"New Fairfield",900150860,2016,43,111,9,163,"Total",14075,42,900150860,"Western Region"
"New Hartford",900551350,2016,37,71,7,115,"Total",6824,21,900551350,"Western Region"
"New Haven",900952070,2016,3577,2670,715,6962,"Total",130405,60,900952070,"South Central Region"
"Newington",900352140,2016,264,355,26,645,"Total",30590,33,900352140,"Central Region"
"New London",901152350,2016,779,773,146,1698,"Total",27218,67,901152350,"Eastern Region"
"New Milford",900552630,2016,368,393,57,818,"Total",27501,31,900552630,"Western Region"
"Newtown",900152980,2016,101,260,16,377,"Total",27990,26,900152980,"Western Region"
"Norfolk",900553470,2016,19,22,1,42,"Total",1447,138,900553470,"Western Region"
"North Branford",900953890,2016,140,167,20,327,"Total",14310,23,900953890,"South Central Region"
"North Canaan",900554030,2016,4,15,1,20,"Total",3230,26,900554030,"Western Region"
"North Haven",900954870,2016,192,223,26,441,"Total",23888,59,900954870,"South Central Region"
"North Stonington",901155500,2016,21,56,4,81,"Total",5276,35,901155500,"Eastern Region"
"Norwalk",900156060,2016,1697,910,150,2757,"Total",87930,46,900156060,"Southwest Region"
"Norwich",901156270,2016,1210,943,173,2326,"Total",40057,34,901156270,"Eastern Region"
"Old Lyme",901157040,2016,35,79,4,118,"Total",7539,27,901157040,"Eastern Region"
"Old Saybrook",900757320,2016,37,92,10,139,"Total",10174,18,900757320,"Eastern Region"
"Orange",900957600,2016,58,117,13,188,"Total",13941,24,900957600,"South Central Region"
"Oxford",900958300,2016,73,174,15,262,"Total",12916,36,900958300,"Western Region"
"Plainfield",901559980,2016,256,253,28,537,"Total",15174,22,901559980,"Eastern Region"
"Plainville",900360120,2016,92,401,36,529,"Total",17772,25,900360120,"Central Region"
"Plymouth",900560750,2016,79,253,19,351,"Total",11926,20,900560750,"Central Region"
"Pomfret",901561030,2016,34,28,4,66,"Total",4182,21,901561030,"Eastern Region"
"Portland",900761800,2016,95,128,12,235,"Total",9404,39,900761800,"Eastern Region"
"Preston",901162150,2016,43,59,8,110,"Total",4716,19,901162150,"Eastern Region"
"Prospect",900962290,2016,62,83,4,149,"Total",9720,36,900962290,"Western Region"
"Putnam",901562710,2016,249,158,37,444,"Total",9419,23,901562710,"Eastern Region"
"Redding",900163480,2016,21,52,2,75,"Total",9276,20,900163480,"Western Region"
"Ridgefield",900163970,2016,58,135,15,208,"Total",25125,34,900163970,"Western Region"
"Rocky Hill",900365370,2016,171,193,18,382,"Total",19920,37,900365370,"Central Region"
"Roxbury",900565930,2016,14,15,5,34,"Total",2260,187,900565930,"Western Region"
"Salem",901166210,2016,17,39,1,57,"Total",4169,23,901166210,"Eastern Region"
"Salisbury",900566420,2016,18,28,4,50,"Total",3669,23,900566420,"Western Region"
"Scotland",901567400,2016,8,10,1,19,"Total",1684,128,901567400,"Eastern Region"
"Seymour",900967610,2016,229,296,30,555,"Total",16540,26,900967610,"South Central Region"
"Sharon",900567960,2016,15,22,6,43,"Total",2726,18,900567960,"Western Region"
"Shelton",900168170,2016,324,580,45,949,"Total",40979,33,900168170,"South Central Region"
"Sherman",900168310,2016,17,29,3,49,"Total",3657,17,900168310,"Western Region"
"Simsbury",900368940,2016,105,175,7,287,"Total",24015,37,900368940,"Central Region"
"Somers",901369220,2016,177,97,13,287,"Total",11368,39,901369220,"North Central Region"
"Southbury",900969640,2016,92,164,9,265,"Total",19727,27,900969640,"Western Region"
"Southington",900370550,2016,121,627,46,794,"Total",43675,29,900370550,"Central Region"
"South Windsor",900371390,2016,247,198,13,458,"Total",25793,43,900371390,"North Central Region"
"Sprague",901171670,2016,42,51,2,95,"Total",2952,27,901171670,"Eastern Region"
"Stafford",901372090,2016,209,217,27,453,"Total",11906,54,901372090,"North Central Region"
"Stamford",900173070,2016,1933,987,149,3069,"Total",127410,58,900173070,"Southwest Region"
"Sterling",901573420,2016,39,60,12,111,"Total",3761,20,901573420,"Eastern Region"
"Stonington",901173770,2016,170,245,17,432,"Total",18477,29,901173770,"Eastern Region"
"Stratford",900174190,2016,294,736,42,1072,"Total",52300,40,900174190,"Southwest Region"
"Suffield",900374540,2016,209,83,13,305,"Total",15618,23,900374540,"North Central Region"
"Thomaston",900575730,2016,78,116,8,202,"Total",7699,33,900575730,"Western Region"
"Thompson",901575870,2016,112,74,12,198,"Total",9327,18,901575870,"Eastern Region"
"Tolland",901376290,2016,91,139,12,242,"Total",14904,23,901376290,"North Central Region"
"Torrington",900576570,2016,1386,731,147,2264,"Total",35227,32,900576570,"Western Region"
"Trumbull",900177200,2016,85,244,15,344,"Total",36477,45,900177200,"Southwest Region"
"Union",901377830,2016,6,5,0,11,"Total",912,148,901377830,"Eastern Region"
"Vernon",901378250,2016,657,407,59,1123,"Total",29140,40,901378250,"North Central Region"
"Voluntown",901178600,2016,26,42,2,70,"Total",2586,17,901178600,"Eastern Region"
"Wallingford",900978740,2016,253,526,54,833,"Total",44989,44,900978740,"Central Region"
"Warren",900579510,2016,4,14,1,19,"Total",1495,132,900579510,"Western Region"
"Washington",900579720,2016,22,45,4,71,"Total",3497,21,900579720,"Western Region"
"Waterbury",900980070,2016,3454,2741,348,6543,"Total",109211,55,900980070,"Western Region"
"Waterford",901180280,2016,124,249,25,398,"Total",19332,55,901180280,"Eastern Region"
"Watertown",900580490,2016,236,248,27,511,"Total",22048,38,900580490,"Western Region"
"Westbrook",900781680,2016,53,90,9,152,"Total",6902,22,900781680,"Eastern Region"
"West Hartford",900382590,2016,390,531,31,952,"Total",63187,35,900382590,"North Central Region"
"West Haven",900982870,2016,891,971,139,2001,"Total",54972,42,900982870,"South Central Region"
"Weston",900183430,2016,25,36,1,62,"Total",10347,19,900183430,"Southwest Region"
"Westport",900183500,2016,142,114,10,266,"Total",27511,25,900183500,"Southwest Region"
"Wethersfield",900384900,2016,210,275,24,509,"Total",26396,29,900384900,"Central Region"
"Willington",901385950,2016,73,79,5,157,"Total",5927,45,901385950,"Eastern Region"
"Wilton",900186370,2016,55,79,7,141,"Total",18616,41,900186370,"Southwest Region"
"Winchester",900586440,2016,309,244,34,587,"Total",10926,24,900586440,"Western Region"
"Windham",901586790,2016,856,860,231,1947,"Total",24998,29,901586790,"Eastern Region"
"Windsor",900387000,2016,440,310,42,792,"Total",29034,35,900387000,"North Central Region"
"Windsor Locks",900387070,2016,336,169,32,537,"Total",12537,32,900387070,"North Central Region"
"Wolcott",900987560,2016,118,203,18,339,"Total",16707,26,900987560,"Western Region"
"Woodbridge",900987700,2016,23,50,5,78,"Total",8925,33,900987700,"South Central Region"
"Woodbury",900587910,2016,69,77,3,149,"Total",9723,20,900587910,"Western Region"
"Woodstock",901588190,2016,75,51,5,131,"Total",7860,32,901588190,"Eastern Region"
