District,FixedDistrict,FIPS
A.C.E.S.,Area Cooperative Educational Services,
Achievement First Bridgeport,Achievement First Bridgeport Academy District,
Achievement First Hartford,Achievement First Hartford Academy District,
Achievement First Hartford Aca,Achievement First Hartford Academy District,
Achievement First Hartford Academy,Achievement First Hartford Academy District,
Achievement First Hartford Academy Inc.,Achievement First Hartford Academy District,
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy District,
Amistad,Amistad Academy District,
Amistad Academy District,Amistad Academy District,
Andover,Andover School District,
Andover School District,Andover School District,
Ansonia,Ansonia School District,
Ansonia School District,Ansonia School District,900901220
Area Cooperative Educational S,Area Cooperative Educational Services,
Area Cooperative Educational Service Center,Area Cooperative Educational Services,
Area Cooperative Educational Services,Area Cooperative Educational Services,
Ashford,Ashford School District,
Ashford School District,Ashford School District,
Avon,Avon School District,900302060
Avon School District,Avon School District,900302060
Barkhamsted,Barkhamsted School District,
Barkhamsted School District,Barkhamsted School District,
Berlin,Berlin School District,
Berlin School District,Berlin School District,
Bethany,Bethany School District,
Bethany School District,Bethany School District,
Bethel,Bethel School District,900104720
Bethel School District,Bethel School District,900104720
Bloomfield,Bloomfield School District,900305910
Bloomfield School District,Bloomfield School District,900305910
Bolton,Bolton School District,901306260
Bolton School District,Bolton School District,901306260
Booker T Washington Academy,Booker T Washington Academy District,
Booker T Washington Academy Di,Booker T Washington Academy District,
Booker T. Washington Academy District,Booker T Washington Academy District,
Bozrah,Bozrah School District,
Bozrah School District,Bozrah School District,
Branford,Branford School District,900907310
Branford School District,Branford School District,900907310
Brass City Charter School,Brass City Charter School District,
Brass City Charter School Dist,Brass City Charter School District,
Brass City Charter School District,Brass City Charter School District,
Bridgeport,Bridgeport School District,900108070
Bridgeport Achievement First,Achievement First Bridgeport Academy District,
Bridgeport Achievement First D,Achievement First Bridgeport Academy District,
Bridgeport Achievement First District,Achievement First Bridgeport Academy District,
Bridgeport School District,Bridgeport School District,900108070
Bristol,Bristol School District,900308490
Bristol School District,Bristol School District,900308490
Brookfield,Brookfield School District,900108980
Brookfield School District,Brookfield School District,900108980
Brooklyn,Brooklyn School District,
Brooklyn School District,Brooklyn School District,
C.E.S.,Cooperative Educational Services,
C.R.E.C.,Capitol Region Education Council,
Canaan,Canaan School District,
Canaan School District,Canaan School District,
Canterbury,Canterbury School District,
Canterbury School District,Canterbury School District,
Canton,Canton School District,900312270
Canton School District,Canton School District,900312270
Capitol Region Education Counc,Capitol Region Education Council,
Capitol Region Education Council,Capitol Region Education Council,
Capital Preparatory Harbor School Inc. District,Capital Preparatory Harbor School Inc. District,
Chaplin,Chaplin School District,
Chaplin School District,Chaplin School District,
Charter School for Young Children on Asylum Hill,Charter School for Young Children on Asylum Hill,
Charter School for Young Children on Asylum Hill District,Charter School for Young Children on Asylum Hill,
Cheshire,Cheshire School District,900914160
Cheshire School District,Cheshire School District,900914160
Chester,Chester School District,
Chester School District,Chester School District,
Clinton,Clinton School District,900715350
Clinton School District,Clinton School District,900715350
Colchester,Colchester School District,901115910
Colchester School District,Colchester School District,901115910
Colebrook,Colebrook School District,
Colebrook School District,Colebrook School District,
Columbia,Columbia School District,
Columbia School District,Columbia School District,
Common Ground High School,Common Ground High School District,
Common Ground High School Dist,Common Ground High School District,
Common Ground High School Distict,Common Ground High School District,
Common Ground High School District,Common Ground High School District,
Connecticut,Connecticut,9
Connecticut Technical High Sch,Connecticut Technical High School System,
Connecticut Technical High School,Connecticut Technical High School System,
Cooperative Educational Servic,Cooperative Educational Services,
Cooperative Educational Service Center,Cooperative Educational Services,
Cooperative Educational Services,Cooperative Educational Services,
Cornwall,Cornwall School District,
Cornwall School District,Cornwall School District,
Coventry,Coventry School District,
Coventry School District,Coventry School District,
Cromwell,Cromwell School District,
Cromwell School District,Cromwell School District,
CT Technical High School System,Connecticut Technical High School System,
Connecticut Technical High School System,Connecticut Technical High School System,
Danbury,Danbury School District,900118500
Danbury School District,Danbury School District,900118500
Darien,Darien School District,900118850
Darien School District,Darien School District,900118850
Deep River,Deep River School District,
Deep River School District,Deep River School District,
Department of Mental Health an,Department of Mental Health and Addiction Services,
Department of Mental Health and Addiction Services,Department of Mental Health and Addiction Services,
Derby,Derby School District,900919550
Derby School District,Derby School District,900919550
East Granby,East Granby School District,900322070
East Granby School District,East Granby School District,900322070
East Haddam,East Haddam School District,
East Haddam School District,East Haddam School District,
East Hampton,East Hampton School District,900722490
East Hampton School District,East Hampton School District,900722490
East Hartford,East Hartford School District,900322630
East Hartford School District,East Hartford School District,900322630
East Haven,East Haven School District,900922910
East Haven School District,East Haven School District,900922910
East Lyme,East Lyme School District,901123400
East Lyme School District,East Lyme School District,901123400
East Windsor,East Windsor School District,900324800
East Windsor School District,East Windsor School District,900324800
EastCONN,Eastern Connecticut Regional Educational Services,
Eastern Connecticut Regional E,Eastern Connecticut Regional Educational Services,
Eastern Connecticut Regional Education Service Center,Eastern Connecticut Regional Educational Services,
Eastern Connecticut Regional Educational Service Center,Eastern Connecticut Regional Educational Services,
Eastern Connecticut Regional Educational Service Center (EASTCONN),Eastern Connecticut Regional Educational Services,
Eastford,Eastford School District,
Eastford School District,Eastford School District,
Easton,Easton School District,
Easton School District,Easton School District,
EdAdvance,Western Connecticut Regional Educational Services,
Education Connection,Western Connecticut Regional Educational Services,
Ellington,Ellington School District,901325360
Ellington School District,Ellington School District,901325360
Elm City,Elm City College Preparatory School District,
Elm City College Preparatory S,Elm City College Preparatory School District,
Elm City College Preparatory School,Elm City College Preparatory School District,
Elm City College Preparatory School District,Elm City College Preparatory School District,
Elm City Montessori School,Elm City Montessori School District,
Elm City Montessori School Dis,Elm City Montessori School District,
Elm City Montessori School District,Elm City Montessori School District,
Enfield,Enfield School District,900325990
Enfield School District,Enfield School District,900325990
Essex,Essex School District,
Essex School District,Essex School District,
Explorations,Explorations District,
Explorations District,Explorations District,
Fairfield,Fairfield School District,900126620
Fairfield School District,Fairfield School District,900126620
Farmington,Farmington School District,900327600
Farmington School District,Farmington School District,900327600
Franklin,Franklin School District,
Franklin School District,Franklin School District,
Gilbert School,The Gilbert School District,
Glastonbury,Glastonbury School District,900331240
Glastonbury School District,Glastonbury School District,900331240
Granby,Granby School District,900332640
Granby School District,Granby School District,900332640
Great Oaks Charter School,Great Oaks Charter School Bridgeport,
Great Oaks Charter School Brid,Great Oaks Charter School Bridgeport,
Great Oaks Charter School District,Great Oaks Charter School Bridgeport,
Greenwich,Greenwich School District,900133620
Greenwich School District,Greenwich School District,900133620
Griswold,Griswold School District,901133900
Griswold School District,Griswold School District,901133900
Groton,Groton School District,901134250
Groton School District,Groton School District,901134250
Guilford,Guilford School District,900934950
Guilford School District,Guilford School District,900934950
Hamden,Hamden School District,900935650
Hamden School District,Hamden School District,900935650
Hampton,Hampton School District,
Hampton School District,Hampton School District,
Hartford,Hartford School District,900337070
Hartford School District,Hartford School District,900337070
Hartland,Hartland School District,
Hartland School District,Hartland School District,
Hebron,Hebron School District,
Hebron School District,Hebron School District,
Highville,Highville Charter School District,
Highville Charter School Distr,Highville Charter School District,
Highville Charter School District,Highville Charter School District,
Highville Mustard Seed Charter School District,Highville Charter School District,
Integrated Day Charter School,Integrated Day Charter School District,
Integrated Day Charter School District,Integrated Day Charter School District,
Interdistrict School for Arts,Interdistrict School for Arts and Communication District,
Interdistrict School for Arts and Communication,Interdistrict School for Arts and Communication District,
Jumoke Academy,Jumoke Academy District,
Jumoke Academy District,Jumoke Academy District,
Kent,Kent School District,
Kent School District,Kent School District,
Killingly,Killingly School District,901540500
Killingly School District,Killingly School District,901540500
Learn,LEARN,
LEARN,LEARN,
Lebanon,Lebanon School District,901142390
Lebanon School District,Lebanon School District,901142390
Ledyard,Ledyard School District,901142600
Ledyard School District,Ledyard School District,901142600
Lisbon,Lisbon School District,
Lisbon School District,Lisbon School District,
Litchfield,Litchfield School District,900543370
Litchfield School District,Litchfield School District,900543370
Madison,Madison School District,900944560
Madison School District,Madison School District,900944560
Manchester,Manchester School District,900344700
Manchester School District,Manchester School District,900344700
Mansfield,Mansfield School District,
Mansfield School District,Mansfield School District,
Marlborough,Marlborough School District,
Marlborough School District,Marlborough School District,
Meriden,Meriden School District,900946520
Meriden School District,Meriden School District,900946520
Middletown,Middletown School District,900747360
Middletown School District,Middletown School District,900747360
Milford,Milford School District,900947535
Milford School District,Milford School District,900947535
Monroe,Monroe School District,900148620
Monroe School District,Monroe School District,900148620
Montville,Montville School District,901148900
Montville School District,Montville School District,901148900
Naugatuck,Naugatuck School District,900949950
Naugatuck School District,Naugatuck School District,900949950
New Beginnings Family Academy,New Beginnings Inc. Family Academy District,
New Beginnings Inc. Family Aca,New Beginnings Inc. Family Academy District,
New Beginnings Inc. Family Academy,New Beginnings Inc. Family Academy District,
New Beginnings Inc Family Academy District,New Beginnings Inc. Family Academy District,
New Beginnings Inc. Family Academy District,New Beginnings Inc. Family Academy District,
"New Beginnings Inc., Family Academy District",New Beginnings Inc. Family Academy District,
New Britain,New Britain School District,900350440
New Britain School District,New Britain School District,900350440
New Canaan,New Canaan School District,900150580
New Canaan School District,New Canaan School District,900150580
New Fairfield,New Fairfield School District,900150860
New Fairfield School District,New Fairfield School District,900150860
New Hartford,New Hartford School District,
New Hartford School District,New Hartford School District,
New Haven,New Haven School District,900952070
New Haven School District,New Haven School District,900952070
New London,New London School District,901152350
New London School District,New London School District,901152350
New Milford,New Milford School District,900552630
New Milford School District,New Milford School District,900552630
Newington,Newington School District,900352140
Newington School District,Newington School District,900352140
Newtown,Newtown School District,900152980
Newtown School District,Newtown School District,900152980
Norfolk,Norfolk School District,
Norfolk School District,Norfolk School District,
North Branford,North Branford School District,900953890
North Branford School District,North Branford School District,900953890
North Canaan,North Canaan School District,
North Canaan School District,North Canaan School District,
North Haven,North Haven School District,900954870
North Haven School District,North Haven School District,900954870
North Stonington,North Stonington School District,901155500
North Stonington School Distri,North Stonington School District,901155500
North Stonington School District,North Stonington School District,901155500
Norwalk,Norwalk School District,900156060
Norwalk School District,Norwalk School District,900156060
Norwich,Norwich Free Academy District,
Norwich Free Academy,Norwich Free Academy District,
Norwich Free Academy District,Norwich Free Academy District,
Norwich School District,Norwich School District,901156270
Odyssey Community Sch,Odyssey Community School District,
Odyssey Community School Distr,Odyssey Community School District,
Odyssey Community School District,Odyssey Community School District,
Old Saybrook,Old Saybrook School District,900757320
Old Saybrook School District,Old Saybrook School District,900757320
Orange,Orange School District,
Orange School District,Orange School District,
Oxford,Oxford School District,900958300
Oxford School District,Oxford School District,900958300
Park City Prep,Park City Prep Charter School District,
Park City Prep Charter School,Park City Prep Charter School District,
Park City Prep Charter School District,Park City Prep Charter School District,
Path Academy,Path Academy District,
Path Academy District,Path Academy District,
Plainfield,Plainfield School District,901559980
Plainfield School District,Plainfield School District,901559980
Plainville,Plainville School District,900360120
Plainville School District,Plainville School District,900360120
Plymouth,Plymouth School District,900560750
Plymouth School District,Plymouth School District,900560750
Pomfret,Pomfret School District,
Pomfret School District,Pomfret School District,
Portland,Portland School District,900761800
Portland School District,Portland School District,900761800
Preston,Preston School District,
Preston School District,Preston School District,
Putnam,Putnam School District,901562710
Putnam School District,Putnam School District,901562710
Redding,Redding School District,
Redding School District,Redding School District,
Regional District 1,Regional School District 01,
Regional District 10,Regional School District 10,
Regional District 11,Regional School District 11,
Regional District 12,Regional School District 12,
Regional District 13,Regional School District 13,
Regional District 14,Regional School District 14,
Regional District 15,Regional School District 15,
Regional District 16,Regional School District 16,
Regional District 17,Regional School District 17,
Regional District 18,Regional School District 18,
Regional District 19,Regional School District 19,
Regional District 4,Regional School District 04,
Regional District 5,Regional School District 05,
Regional District 6,Regional School District 06,
Regional District 7,Regional School District 07,
Regional District 8,Regional School District 08,
Regional District 9,Regional School District 09,
Regional School District 01,Regional School District 01,
Regional School District 04,Regional School District 04,
Regional School District 05,Regional School District 05,
Regional School District 06,Regional School District 06,
Regional School District 07,Regional School District 07,
Regional School District 08,Regional School District 08,
Regional School District 09,Regional School District 09,
Regional School District 10,Regional School District 10,
Regional School District 11,Regional School District 11,
Regional School District 12,Regional School District 12,
Regional School District 13,Regional School District 13,
Regional School District 14,Regional School District 14,
Regional School District 15,Regional School District 15,
Regional School District 16,Regional School District 16,
Regional School District 17,Regional School District 17,
Regional School District 18,Regional School District 18,
Regional School District 19,Regional School District 19,
Ridgefield,Ridgefield School District,900163970
Ridgefield School District,Ridgefield School District,900163970
Rocky Hill,Rocky Hill School District,900365370
Rocky Hill School District,Rocky Hill School District,900365370
Salem,Salem School District,
Salem School District,Salem School District,
Salisbury,Salisbury School District,
Salisbury School District,Salisbury School District,
Scotland,Scotland School District,
Scotland School District,Scotland School District,
Seymour,Seymour School District,900967610
Seymour School District,Seymour School District,900967610
Sharon,Sharon School District,
Sharon School District,Sharon School District,
Shelton,Shelton School District,900168170
Shelton School District,Shelton School District,900168170
Sherman,Sherman School District,
Sherman School District,Sherman School District,
Side By Side,Side By Side Charter School District,
Side By Side Charter School Di,Side By Side Charter School District,
Side By Side Charter School District,Side By Side Charter School District,
Side By Side Community School District,Side By Side Charter School District,
Simsbury,Simsbury School District,900368940
Simsbury School District,Simsbury School District,900368940
Somers,Somers School District,901369220
Somers School District,Somers School District,901369220
South Windsor,South Windsor School District,900371390
South Windsor School District,South Windsor School District,900371390
Southington,Southington School District,900370550
Southington School District,Southington School District,900370550
Sprague,Sprague School District,
Sprague School District,Sprague School District,
Stafford,Stafford School District,901372090
Stafford School District,Stafford School District,901372090
Stamford,Stamford School District,900173070
Stamford Academy,Stamford Academy District,
Stamford Academy District,Stamford Academy District,
Stamford School District,Stamford School District,900173070
Stamford Charter School for Excellence District,Stamford Charter School for Excellence District,
Sterling,Sterling School District,
Sterling School District,Sterling School District,
Stonington,Stonington School District,901173770
Stonington School District,Stonington School District,901173770
Stratford,Stratford School District,900174190
Stratford School District,Stratford School District,900174190
Suffield,Suffield School District,900374540
Suffield School District,Suffield School District,900374540
The Bridge Academy,The Bridge Academy District,
The Bridge Academy District,The Bridge Academy District,
The Gilbert School,The Gilbert School District,
The Gilbert School District,The Gilbert School District,
Thomaston,Thomaston School District,900575730
Thomaston School District,Thomaston School District,900575730
Thompson,Thompson School District,901575870
Thompson School District,Thompson School District,901575870
Tolland,Tolland School District,901376290
Tolland School District,Tolland School District,901376290
Torrington,Torrington School District,900576570
Torrington School District,Torrington School District,900576570
Trailblazers Academy,Trailblazers Academy District,
Trailblazers Academy District,Trailblazers Academy District,
Trumbull,Trumbull School District,900177200
Trumbull School District,Trumbull School District,900177200
Unified School District #1,Unified School District #1,
Unified School District #2,Unified School District #2,
Union,Union School District,
Union School District,Union School District,
Vernon,Vernon School District,901378250
Vernon School District,Vernon School District,901378250
Voluntown,Voluntown School District,
Voluntown School District,Voluntown School District,
Wallingford,Wallingford School District,900978740
Wallingford School District,Wallingford School District,900978740
Waterbury,Waterbury School District,900980070
Waterbury School District,Waterbury School District,900980070
Waterford,Waterford School District,901180280
Waterford School District,Waterford School District,901180280
Watertown,Watertown School District,900580490
Watertown School District,Watertown School District,900580490
West Hartford,West Hartford School District,900382590
West Hartford School District,West Hartford School District,900382590
West Haven,West Haven School District,900982870
West Haven School District,West Haven School District,900982870
Westbrook,Westbrook School District,900781680
Westbrook School District,Westbrook School District,900781680
Weston,Weston School District,900183430
Weston School District,Weston School District,900183430
Westport,Westport School District,900183500
Westport School District,Westport School District,900183500
Wethersfield,Wethersfield School District,900384900
Wethersfield School District,Wethersfield School District,900384900
Willington,Willington School District,
Willington School District,Willington School District,
Wilton,Wilton School District,900186370
Wilton School District,Wilton School District,900186370
Winchester,Winchester School District,900586440
Winchester School District,Winchester School District,900586440
Windham,Windham School District,901586790
Windham School District,Windham School District,901586790
Windsor,Windsor School District,900387000
Windsor Locks,Windsor Locks School District,900387070
Windsor Locks School District,Windsor Locks School District,900387070
Windsor School District,Windsor School District,900387000
Wolcott,Wolcott School District,900987560
Wolcott School District,Wolcott School District,900987560
Woodbridge,Woodbridge School District,
Woodbridge School District,Woodbridge School District,
Woodstock,Woodstock School District,
Woodstock Academy,Woodstock Academy District,
Woodstock Academy District,Woodstock Academy District,
Woodstock School District,Woodstock School District,
Interdistrict School for Arts and Comm District,Interdistrict School for Arts and Communication District,
North Branford School Distric,North Branford School District,900953890
North Stonington School Distr,North Stonington School District,901155500
"Regional High School District 01, Ct",Regional School District 01,
"Regional High School District 09, Ct",Regional School District 09,
"Regional High School District 19, Ct",Regional School District 19,
"Sterling School District, Ct",Sterling School District,
