"Town","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value","Region"
"Andover",901301080,"2012-2016","All","Number","Margins of Error",12578,"North Central Region"
"Andover",901301080,"2012-2016","All","Number","Median Household Income",100724,"North Central Region"
"Ansonia",900901220,"2012-2016","All","Number","Margins of Error",4682,"South Central Region"
"Ansonia",900901220,"2012-2016","All","Number","Median Household Income",43386,"South Central Region"
"Ashford",901501430,"2012-2016","All","Number","Margins of Error",7075,"Eastern Region"
"Ashford",901501430,"2012-2016","All","Number","Median Household Income",78313,"Eastern Region"
"Avon",900302060,"2012-2016","All","Number","Margins of Error",9643,"Central Region"
"Avon",900302060,"2012-2016","All","Number","Median Household Income",124608,"Central Region"
"Barkhamsted",900502760,"2012-2016","All","Number","Margins of Error",9372,"Western Region"
"Barkhamsted",900502760,"2012-2016","All","Number","Median Household Income",104899,"Western Region"
"Beacon Falls",900903250,"2012-2016","All","Number","Margins of Error",11666,"Western Region"
"Beacon Falls",900903250,"2012-2016","All","Number","Median Household Income",84570,"Western Region"
"Berlin",900304300,"2012-2016","All","Number","Margins of Error",9503,"Central Region"
"Berlin",900304300,"2012-2016","All","Number","Median Household Income",93750,"Central Region"
"Bethany",900904580,"2012-2016","All","Number","Margins of Error",10901,"South Central Region"
"Bethany",900904580,"2012-2016","All","Number","Median Household Income",106058,"South Central Region"
"Bethel",900104720,"2012-2016","All","Number","Margins of Error",6347,"Western Region"
"Bethel",900104720,"2012-2016","All","Number","Median Household Income",94292,"Western Region"
"Bethlehem",900504930,"2012-2016","All","Number","Margins of Error",9644,"Western Region"
"Bethlehem",900504930,"2012-2016","All","Number","Median Household Income",87056,"Western Region"
"Bloomfield",900305910,"2012-2016","All","Number","Margins of Error",4728,"North Central Region"
"Bloomfield",900305910,"2012-2016","All","Number","Median Household Income",74107,"North Central Region"
"Bolton",901306260,"2012-2016","All","Number","Margins of Error",11191,"North Central Region"
"Bolton",901306260,"2012-2016","All","Number","Median Household Income",91087,"North Central Region"
"Bozrah",901106820,"2012-2016","All","Number","Margins of Error",6484,"Eastern Region"
"Bozrah",901106820,"2012-2016","All","Number","Median Household Income",84698,"Eastern Region"
"Branford",900907310,"2012-2016","All","Number","Margins of Error",4041,"South Central Region"
"Branford",900907310,"2012-2016","All","Number","Median Household Income",71619,"South Central Region"
"Bridgeport",900108070,"2012-2016","All","Number","Margins of Error",1420,"Southwest Region"
"Bridgeport",900108070,"2012-2016","All","Number","Median Household Income",43137,"Southwest Region"
"Bridgewater",900508210,"2012-2016","All","Number","Margins of Error",11581,"Western Region"
"Bridgewater",900508210,"2012-2016","All","Number","Median Household Income",103393,"Western Region"
"Bristol",900308490,"2012-2016","All","Number","Margins of Error",1900,"Central Region"
"Bristol",900308490,"2012-2016","All","Number","Median Household Income",61551,"Central Region"
"Brookfield",900108980,"2012-2016","All","Number","Margins of Error",9912,"Western Region"
"Brookfield",900108980,"2012-2016","All","Number","Median Household Income",106278,"Western Region"
"Brooklyn",901509190,"2012-2016","All","Number","Margins of Error",12619,"Eastern Region"
"Brooklyn",901509190,"2012-2016","All","Number","Median Household Income",74375,"Eastern Region"
"Burlington",900310100,"2012-2016","All","Number","Margins of Error",6662,"Central Region"
"Burlington",900310100,"2012-2016","All","Number","Median Household Income",117069,"Central Region"
"Canaan",900510940,"2012-2016","All","Number","Margins of Error",3167,"Western Region"
"Canaan",900510940,"2012-2016","All","Number","Median Household Income",72174,"Western Region"
"Canterbury",901512130,"2012-2016","All","Number","Margins of Error",8274,"Eastern Region"
"Canterbury",901512130,"2012-2016","All","Number","Median Household Income",81496,"Eastern Region"
"Canton",900312270,"2012-2016","All","Number","Margins of Error",5100,"Central Region"
"Canton",900312270,"2012-2016","All","Number","Median Household Income",87404,"Central Region"
"Chaplin",901513810,"2012-2016","All","Number","Margins of Error",19463,"Eastern Region"
"Chaplin",901513810,"2012-2016","All","Number","Median Household Income",80000,"Eastern Region"
"Cheshire",900914160,"2012-2016","All","Number","Margins of Error",6795,"Western Region"
"Cheshire",900914160,"2012-2016","All","Number","Median Household Income",108559,"Western Region"
"Chester",900714300,"2012-2016","All","Number","Margins of Error",17151,"Eastern Region"
"Chester",900714300,"2012-2016","All","Number","Median Household Income",76648,"Eastern Region"
"Clinton",900715350,"2012-2016","All","Number","Margins of Error",6326,"Eastern Region"
"Clinton",900715350,"2012-2016","All","Number","Median Household Income",74022,"Eastern Region"
"Colchester",901115910,"2012-2016","All","Number","Margins of Error",6044,"Eastern Region"
"Colchester",901115910,"2012-2016","All","Number","Median Household Income",99257,"Eastern Region"
"Colebrook",900516050,"2012-2016","All","Number","Margins of Error",6095,"Western Region"
"Colebrook",900516050,"2012-2016","All","Number","Median Household Income",81184,"Western Region"
"Columbia",901316400,"2012-2016","All","Number","Margins of Error",5206,"Eastern Region"
"Columbia",901316400,"2012-2016","All","Number","Median Household Income",92981,"Eastern Region"
"Connecticut",9,"2012-2016","All","Number","Margins of Error",473,"Statewide"
"Connecticut",9,"2012-2016","All","Number","Median Household Income",71755,"Statewide"
"Cornwall",900517240,"2012-2016","All","Number","Margins of Error",10044,"Western Region"
"Cornwall",900517240,"2012-2016","All","Number","Median Household Income",74107,"Western Region"
"Coventry",901317800,"2012-2016","All","Number","Margins of Error",4973,"Eastern Region"
"Coventry",901317800,"2012-2016","All","Number","Median Household Income",88967,"Eastern Region"
"Cromwell",900718080,"2012-2016","All","Number","Margins of Error",2457,"Eastern Region"
"Cromwell",900718080,"2012-2016","All","Number","Median Household Income",83739,"Eastern Region"
"Danbury",900118500,"2012-2016","All","Number","Margins of Error",3623,"Western Region"
"Danbury",900118500,"2012-2016","All","Number","Median Household Income",67430,"Western Region"
"Darien",900118850,"2012-2016","All","Number","Margins of Error",20540,"Southwest Region"
"Darien",900118850,"2012-2016","All","Number","Median Household Income",208125,"Southwest Region"
"Deep River",900719130,"2012-2016","All","Number","Margins of Error",11291,"Eastern Region"
"Deep River",900719130,"2012-2016","All","Number","Median Household Income",69861,"Eastern Region"
"Derby",900919550,"2012-2016","All","Number","Margins of Error",7464,"South Central Region"
"Derby",900919550,"2012-2016","All","Number","Median Household Income",55316,"South Central Region"
"Durham",900720810,"2012-2016","All","Number","Margins of Error",9525,"Eastern Region"
"Durham",900720810,"2012-2016","All","Number","Median Household Income",114491,"Eastern Region"
"Eastford",901521860,"2012-2016","All","Number","Margins of Error",9396,"Eastern Region"
"Eastford",901521860,"2012-2016","All","Number","Median Household Income",78309,"Eastern Region"
"East Granby",900322070,"2012-2016","All","Number","Margins of Error",11567,"North Central Region"
"East Granby",900322070,"2012-2016","All","Number","Median Household Income",88559,"North Central Region"
"East Haddam",900722280,"2012-2016","All","Number","Margins of Error",10217,"Eastern Region"
"East Haddam",900722280,"2012-2016","All","Number","Median Household Income",79668,"Eastern Region"
"East Hampton",900722490,"2012-2016","All","Number","Margins of Error",3458,"Eastern Region"
"East Hampton",900722490,"2012-2016","All","Number","Median Household Income",95923,"Eastern Region"
"East Hartford",900322630,"2012-2016","All","Number","Margins of Error",2051,"North Central Region"
"East Hartford",900322630,"2012-2016","All","Number","Median Household Income",50750,"North Central Region"
"East Haven",900922910,"2012-2016","All","Number","Margins of Error",3565,"South Central Region"
"East Haven",900922910,"2012-2016","All","Number","Median Household Income",63137,"South Central Region"
"East Lyme",901123400,"2012-2016","All","Number","Margins of Error",5283,"Eastern Region"
"East Lyme",901123400,"2012-2016","All","Number","Median Household Income",85872,"Eastern Region"
"Easton",900123890,"2012-2016","All","Number","Margins of Error",18411,"Southwest Region"
"Easton",900123890,"2012-2016","All","Number","Median Household Income",133356,"Southwest Region"
"East Windsor",900324800,"2012-2016","All","Number","Margins of Error",8321,"North Central Region"
"East Windsor",900324800,"2012-2016","All","Number","Median Household Income",74784,"North Central Region"
"Ellington",901325360,"2012-2016","All","Number","Margins of Error",4251,"North Central Region"
"Ellington",901325360,"2012-2016","All","Number","Median Household Income",79917,"North Central Region"
"Enfield",900325990,"2012-2016","All","Number","Margins of Error",3369,"North Central Region"
"Enfield",900325990,"2012-2016","All","Number","Median Household Income",71526,"North Central Region"
"Essex",900726270,"2012-2016","All","Number","Margins of Error",14911,"Eastern Region"
"Essex",900726270,"2012-2016","All","Number","Median Household Income",89950,"Eastern Region"
"Fairfield",900126620,"2012-2016","All","Number","Margins of Error",5065,"Southwest Region"
"Fairfield",900126620,"2012-2016","All","Number","Median Household Income",122135,"Southwest Region"
"Farmington",900327600,"2012-2016","All","Number","Margins of Error",5094,"Central Region"
"Farmington",900327600,"2012-2016","All","Number","Median Household Income",95158,"Central Region"
"Franklin",901129910,"2012-2016","All","Number","Margins of Error",15896,"Eastern Region"
"Franklin",901129910,"2012-2016","All","Number","Median Household Income",93438,"Eastern Region"
"Glastonbury",900331240,"2012-2016","All","Number","Margins of Error",6358,"North Central Region"
"Glastonbury",900331240,"2012-2016","All","Number","Median Household Income",108600,"North Central Region"
"Goshen",900532290,"2012-2016","All","Number","Margins of Error",7231,"Western Region"
"Goshen",900532290,"2012-2016","All","Number","Median Household Income",95219,"Western Region"
"Granby",900332640,"2012-2016","All","Number","Margins of Error",18438,"North Central Region"
"Granby",900332640,"2012-2016","All","Number","Median Household Income",109901,"North Central Region"
"Greenwich",900133620,"2012-2016","All","Number","Margins of Error",6934,"Southwest Region"
"Greenwich",900133620,"2012-2016","All","Number","Median Household Income",134223,"Southwest Region"
"Griswold",901133900,"2012-2016","All","Number","Margins of Error",6470,"Eastern Region"
"Griswold",901133900,"2012-2016","All","Number","Median Household Income",57312,"Eastern Region"
"Groton",901134250,"2012-2016","All","Number","Margins of Error",2733,"Eastern Region"
"Groton",901134250,"2012-2016","All","Number","Median Household Income",64074,"Eastern Region"
"Guilford",900934950,"2012-2016","All","Number","Margins of Error",6611,"Eastern Region"
"Guilford",900934950,"2012-2016","All","Number","Median Household Income",102199,"Eastern Region"
"Haddam",900735230,"2012-2016","All","Number","Margins of Error",9408,"Eastern Region"
"Haddam",900735230,"2012-2016","All","Number","Median Household Income",99258,"Eastern Region"
"Hamden",900935650,"2012-2016","All","Number","Margins of Error",2226,"South Central Region"
"Hamden",900935650,"2012-2016","All","Number","Median Household Income",71665,"South Central Region"
"Hampton",901536000,"2012-2016","All","Number","Margins of Error",3147,"Eastern Region"
"Hampton",901536000,"2012-2016","All","Number","Median Household Income",73684,"Eastern Region"
"Hartford",900337070,"2012-2016","All","Number","Margins of Error",1096,"North Central Region"
"Hartford",900337070,"2012-2016","All","Number","Median Household Income",32095,"North Central Region"
"Hartland",900337140,"2012-2016","All","Number","Margins of Error",4302,"Western Region"
"Hartland",900337140,"2012-2016","All","Number","Median Household Income",89438,"Western Region"
"Harwinton",900537280,"2012-2016","All","Number","Margins of Error",6696,"Western Region"
"Harwinton",900537280,"2012-2016","All","Number","Median Household Income",93770,"Western Region"
"Hebron",901337910,"2012-2016","All","Number","Margins of Error",14474,"North Central Region"
"Hebron",901337910,"2012-2016","All","Number","Median Household Income",110739,"North Central Region"
"Kent",900540290,"2012-2016","All","Number","Margins of Error",9741,"Western Region"
"Kent",900540290,"2012-2016","All","Number","Median Household Income",61875,"Western Region"
"Killingly",901540500,"2012-2016","All","Number","Margins of Error",7752,"Eastern Region"
"Killingly",901540500,"2012-2016","All","Number","Median Household Income",60548,"Eastern Region"
"Killingworth",900740710,"2012-2016","All","Number","Margins of Error",12191,"Eastern Region"
"Killingworth",900740710,"2012-2016","All","Number","Median Household Income",103295,"Eastern Region"
"Lebanon",901142390,"2012-2016","All","Number","Margins of Error",10335,"Eastern Region"
"Lebanon",901142390,"2012-2016","All","Number","Median Household Income",88125,"Eastern Region"
"Ledyard",901142600,"2012-2016","All","Number","Margins of Error",8177,"Eastern Region"
"Ledyard",901142600,"2012-2016","All","Number","Median Household Income",84821,"Eastern Region"
"Lisbon",901143230,"2012-2016","All","Number","Margins of Error",8061,"Eastern Region"
"Lisbon",901143230,"2012-2016","All","Number","Median Household Income",86833,"Eastern Region"
"Litchfield",900543370,"2012-2016","All","Number","Margins of Error",4758,"Western Region"
"Litchfield",900543370,"2012-2016","All","Number","Median Household Income",80951,"Western Region"
"Lyme",901144210,"2012-2016","All","Number","Margins of Error",14998,"Eastern Region"
"Lyme",901144210,"2012-2016","All","Number","Median Household Income",89643,"Eastern Region"
"Madison",900944560,"2012-2016","All","Number","Margins of Error",6821,"Eastern Region"
"Madison",900944560,"2012-2016","All","Number","Median Household Income",105673,"Eastern Region"
"Manchester",900344700,"2012-2016","All","Number","Margins of Error",2310,"North Central Region"
"Manchester",900344700,"2012-2016","All","Number","Median Household Income",65592,"North Central Region"
"Mansfield",901344910,"2012-2016","All","Number","Margins of Error",6684,"Eastern Region"
"Mansfield",901344910,"2012-2016","All","Number","Median Household Income",63391,"Eastern Region"
"Marlborough",900345820,"2012-2016","All","Number","Margins of Error",14208,"North Central Region"
"Marlborough",900345820,"2012-2016","All","Number","Median Household Income",103276,"North Central Region"
"Meriden",900946520,"2012-2016","All","Number","Margins of Error",2393,"Central Region"
"Meriden",900946520,"2012-2016","All","Number","Median Household Income",55547,"Central Region"
"Middlebury",900946940,"2012-2016","All","Number","Margins of Error",7943,"Western Region"
"Middlebury",900946940,"2012-2016","All","Number","Median Household Income",103235,"Western Region"
"Middlefield",900747080,"2012-2016","All","Number","Margins of Error",6890,"Eastern Region"
"Middlefield",900747080,"2012-2016","All","Number","Median Household Income",103262,"Eastern Region"
"Middletown",900747360,"2012-2016","All","Number","Margins of Error",3862,"Eastern Region"
"Middletown",900747360,"2012-2016","All","Number","Median Household Income",63828,"Eastern Region"
"Milford",900947535,"2012-2016","All","Number","Margins of Error",3132,"South Central Region"
"Milford",900947535,"2012-2016","All","Number","Median Household Income",81844,"South Central Region"
"Monroe",900148620,"2012-2016","All","Number","Margins of Error",9981,"Southwest Region"
"Monroe",900148620,"2012-2016","All","Number","Median Household Income",113333,"Southwest Region"
"Montville",901148900,"2012-2016","All","Number","Margins of Error",6698,"Eastern Region"
"Montville",901148900,"2012-2016","All","Number","Median Household Income",73160,"Eastern Region"
"Morris",900549460,"2012-2016","All","Number","Margins of Error",13695,"Western Region"
"Morris",900549460,"2012-2016","All","Number","Median Household Income",82031,"Western Region"
"Naugatuck",900949950,"2012-2016","All","Number","Margins of Error",3359,"Western Region"
"Naugatuck",900949950,"2012-2016","All","Number","Median Household Income",59522,"Western Region"
"New Britain",900350440,"2012-2016","All","Number","Margins of Error",1853,"Central Region"
"New Britain",900350440,"2012-2016","All","Number","Median Household Income",41844,"Central Region"
"New Canaan",900150580,"2012-2016","All","Number","Margins of Error",13441,"Southwest Region"
"New Canaan",900150580,"2012-2016","All","Number","Median Household Income",176601,"Southwest Region"
"New Fairfield",900150860,"2012-2016","All","Number","Margins of Error",2917,"Western Region"
"New Fairfield",900150860,"2012-2016","All","Number","Median Household Income",101392,"Western Region"
"New Hartford",900551350,"2012-2016","All","Number","Margins of Error",8707,"Western Region"
"New Hartford",900551350,"2012-2016","All","Number","Median Household Income",92970,"Western Region"
"New Haven",900952070,"2012-2016","All","Number","Margins of Error",1456,"South Central Region"
"New Haven",900952070,"2012-2016","All","Number","Median Household Income",38126,"South Central Region"
"Newington",900352140,"2012-2016","All","Number","Margins of Error",2921,"Central Region"
"Newington",900352140,"2012-2016","All","Number","Median Household Income",80315,"Central Region"
"New London",901152350,"2012-2016","All","Number","Margins of Error",2407,"Eastern Region"
"New London",901152350,"2012-2016","All","Number","Median Household Income",35357,"Eastern Region"
"New Milford",900552630,"2012-2016","All","Number","Margins of Error",4912,"Western Region"
"New Milford",900552630,"2012-2016","All","Number","Median Household Income",81350,"Western Region"
"Newtown",900152980,"2012-2016","All","Number","Margins of Error",5792,"Western Region"
"Newtown",900152980,"2012-2016","All","Number","Median Household Income",110036,"Western Region"
"Norfolk",900553470,"2012-2016","All","Number","Margins of Error",6350,"Western Region"
"Norfolk",900553470,"2012-2016","All","Number","Median Household Income",73804,"Western Region"
"North Branford",900953890,"2012-2016","All","Number","Margins of Error",11807,"South Central Region"
"North Branford",900953890,"2012-2016","All","Number","Median Household Income",85357,"South Central Region"
"North Canaan",900554030,"2012-2016","All","Number","Margins of Error",7664,"Western Region"
"North Canaan",900554030,"2012-2016","All","Number","Median Household Income",75690,"Western Region"
"North Haven",900954870,"2012-2016","All","Number","Margins of Error",4879,"South Central Region"
"North Haven",900954870,"2012-2016","All","Number","Median Household Income",93696,"South Central Region"
"North Stonington",901155500,"2012-2016","All","Number","Margins of Error",17412,"Eastern Region"
"North Stonington",901155500,"2012-2016","All","Number","Median Household Income",75091,"Eastern Region"
"Norwalk",900156060,"2012-2016","All","Number","Margins of Error",3643,"Southwest Region"
"Norwalk",900156060,"2012-2016","All","Number","Median Household Income",80896,"Southwest Region"
"Norwich",901156270,"2012-2016","All","Number","Margins of Error",2399,"Eastern Region"
"Norwich",901156270,"2012-2016","All","Number","Median Household Income",51758,"Eastern Region"
"Old Lyme",901157040,"2012-2016","All","Number","Margins of Error",7272,"Eastern Region"
"Old Lyme",901157040,"2012-2016","All","Number","Median Household Income",87971,"Eastern Region"
"Old Saybrook",900757320,"2012-2016","All","Number","Margins of Error",9489,"Eastern Region"
"Old Saybrook",900757320,"2012-2016","All","Number","Median Household Income",75237,"Eastern Region"
"Orange",900957600,"2012-2016","All","Number","Margins of Error",5287,"South Central Region"
"Orange",900957600,"2012-2016","All","Number","Median Household Income",106475,"South Central Region"
"Oxford",900958300,"2012-2016","All","Number","Margins of Error",8733,"Western Region"
"Oxford",900958300,"2012-2016","All","Number","Median Household Income",99311,"Western Region"
"Plainfield",901559980,"2012-2016","All","Number","Margins of Error",5854,"Eastern Region"
"Plainfield",901559980,"2012-2016","All","Number","Median Household Income",65254,"Eastern Region"
"Plainville",900360120,"2012-2016","All","Number","Margins of Error",4006,"Central Region"
"Plainville",900360120,"2012-2016","All","Number","Median Household Income",61907,"Central Region"
"Plymouth",900560750,"2012-2016","All","Number","Margins of Error",4736,"Central Region"
"Plymouth",900560750,"2012-2016","All","Number","Median Household Income",70635,"Central Region"
"Pomfret",901561030,"2012-2016","All","Number","Margins of Error",15595,"Eastern Region"
"Pomfret",901561030,"2012-2016","All","Number","Median Household Income",88906,"Eastern Region"
"Portland",900761800,"2012-2016","All","Number","Margins of Error",12929,"Eastern Region"
"Portland",900761800,"2012-2016","All","Number","Median Household Income",81589,"Eastern Region"
"Preston",901162150,"2012-2016","All","Number","Margins of Error",8886,"Eastern Region"
"Preston",901162150,"2012-2016","All","Number","Median Household Income",69439,"Eastern Region"
"Prospect",900962290,"2012-2016","All","Number","Margins of Error",10417,"Western Region"
"Prospect",900962290,"2012-2016","All","Number","Median Household Income",103659,"Western Region"
"Putnam",901562710,"2012-2016","All","Number","Margins of Error",6001,"Eastern Region"
"Putnam",901562710,"2012-2016","All","Number","Median Household Income",52224,"Eastern Region"
"Redding",900163480,"2012-2016","All","Number","Margins of Error",18265,"Western Region"
"Redding",900163480,"2012-2016","All","Number","Median Household Income",129643,"Western Region"
"Ridgefield",900163970,"2012-2016","All","Number","Margins of Error",9175,"Western Region"
"Ridgefield",900163970,"2012-2016","All","Number","Median Household Income",145014,"Western Region"
"Rocky Hill",900365370,"2012-2016","All","Number","Margins of Error",4791,"Central Region"
"Rocky Hill",900365370,"2012-2016","All","Number","Median Household Income",81988,"Central Region"
"Roxbury",900565930,"2012-2016","All","Number","Margins of Error",11468,"Western Region"
"Roxbury",900565930,"2012-2016","All","Number","Median Household Income",110625,"Western Region"
"Salem",901166210,"2012-2016","All","Number","Margins of Error",11461,"Eastern Region"
"Salem",901166210,"2012-2016","All","Number","Median Household Income",104732,"Eastern Region"
"Salisbury",900566420,"2012-2016","All","Number","Margins of Error",13375,"Western Region"
"Salisbury",900566420,"2012-2016","All","Number","Median Household Income",74853,"Western Region"
"Scotland",901567400,"2012-2016","All","Number","Margins of Error",8704,"Eastern Region"
"Scotland",901567400,"2012-2016","All","Number","Median Household Income",86397,"Eastern Region"
"Seymour",900967610,"2012-2016","All","Number","Margins of Error",9773,"South Central Region"
"Seymour",900967610,"2012-2016","All","Number","Median Household Income",79734,"South Central Region"
"Sharon",900567960,"2012-2016","All","Number","Margins of Error",16565,"Western Region"
"Sharon",900567960,"2012-2016","All","Number","Median Household Income",82714,"Western Region"
"Shelton",900168170,"2012-2016","All","Number","Margins of Error",4125,"South Central Region"
"Shelton",900168170,"2012-2016","All","Number","Median Household Income",87277,"South Central Region"
"Sherman",900168310,"2012-2016","All","Number","Margins of Error",14032,"Western Region"
"Sherman",900168310,"2012-2016","All","Number","Median Household Income",111667,"Western Region"
"Simsbury",900368940,"2012-2016","All","Number","Margins of Error",5662,"Central Region"
"Simsbury",900368940,"2012-2016","All","Number","Median Household Income",110099,"Central Region"
"Somers",901369220,"2012-2016","All","Number","Margins of Error",7384,"North Central Region"
"Somers",901369220,"2012-2016","All","Number","Median Household Income",94765,"North Central Region"
"Southbury",900969640,"2012-2016","All","Number","Margins of Error",5887,"Western Region"
"Southbury",900969640,"2012-2016","All","Number","Median Household Income",85068,"Western Region"
"Southington",900370550,"2012-2016","All","Number","Margins of Error",4233,"Central Region"
"Southington",900370550,"2012-2016","All","Number","Median Household Income",88214,"Central Region"
"South Windsor",900371390,"2012-2016","All","Number","Margins of Error",5916,"North Central Region"
"South Windsor",900371390,"2012-2016","All","Number","Median Household Income",100122,"North Central Region"
"Sprague",901171670,"2012-2016","All","Number","Margins of Error",6328,"Eastern Region"
"Sprague",901171670,"2012-2016","All","Number","Median Household Income",65861,"Eastern Region"
"Stafford",901372090,"2012-2016","All","Number","Margins of Error",6623,"North Central Region"
"Stafford",901372090,"2012-2016","All","Number","Median Household Income",63681,"North Central Region"
"Stamford",900173070,"2012-2016","All","Number","Margins of Error",2412,"Southwest Region"
"Stamford",900173070,"2012-2016","All","Number","Median Household Income",81634,"Southwest Region"
"Sterling",901573420,"2012-2016","All","Number","Margins of Error",8312,"Eastern Region"
"Sterling",901573420,"2012-2016","All","Number","Median Household Income",68776,"Eastern Region"
"Stonington",901173770,"2012-2016","All","Number","Margins of Error",4559,"Eastern Region"
"Stonington",901173770,"2012-2016","All","Number","Median Household Income",78274,"Eastern Region"
"Stratford",900174190,"2012-2016","All","Number","Margins of Error",2152,"Southwest Region"
"Stratford",900174190,"2012-2016","All","Number","Median Household Income",69336,"Southwest Region"
"Suffield",900374540,"2012-2016","All","Number","Margins of Error",5631,"North Central Region"
"Suffield",900374540,"2012-2016","All","Number","Median Household Income",99098,"North Central Region"
"Thomaston",900575730,"2012-2016","All","Number","Margins of Error",4304,"Western Region"
"Thomaston",900575730,"2012-2016","All","Number","Median Household Income",65901,"Western Region"
"Thompson",901575870,"2012-2016","All","Number","Margins of Error",7577,"Eastern Region"
"Thompson",901575870,"2012-2016","All","Number","Median Household Income",68869,"Eastern Region"
"Tolland",901376290,"2012-2016","All","Number","Margins of Error",5854,"North Central Region"
"Tolland",901376290,"2012-2016","All","Number","Median Household Income",109382,"North Central Region"
"Torrington",900576570,"2012-2016","All","Number","Margins of Error",2908,"Western Region"
"Torrington",900576570,"2012-2016","All","Number","Median Household Income",58717,"Western Region"
"Trumbull",900177200,"2012-2016","All","Number","Margins of Error",4548,"Southwest Region"
"Trumbull",900177200,"2012-2016","All","Number","Median Household Income",112674,"Southwest Region"
"Union",901377830,"2012-2016","All","Number","Margins of Error",15930,"Eastern Region"
"Union",901377830,"2012-2016","All","Number","Median Household Income",88125,"Eastern Region"
"Vernon",901378250,"2012-2016","All","Number","Margins of Error",2520,"North Central Region"
"Vernon",901378250,"2012-2016","All","Number","Median Household Income",61099,"North Central Region"
"Voluntown",901178600,"2012-2016","All","Number","Margins of Error",10478,"Eastern Region"
"Voluntown",901178600,"2012-2016","All","Number","Median Household Income",81023,"Eastern Region"
"Wallingford",900978740,"2012-2016","All","Number","Margins of Error",2440,"Central Region"
"Wallingford",900978740,"2012-2016","All","Number","Median Household Income",75942,"Central Region"
"Warren",900579510,"2012-2016","All","Number","Margins of Error",10964,"Western Region"
"Warren",900579510,"2012-2016","All","Number","Median Household Income",92083,"Western Region"
"Washington",900579720,"2012-2016","All","Number","Margins of Error",11177,"Western Region"
"Washington",900579720,"2012-2016","All","Number","Median Household Income",82418,"Western Region"
"Waterbury",900980070,"2012-2016","All","Number","Margins of Error",1768,"Western Region"
"Waterbury",900980070,"2012-2016","All","Number","Median Household Income",39681,"Western Region"
"Waterford",901180280,"2012-2016","All","Number","Margins of Error",3138,"Eastern Region"
"Waterford",901180280,"2012-2016","All","Number","Median Household Income",78382,"Eastern Region"
"Watertown",900580490,"2012-2016","All","Number","Margins of Error",7695,"Western Region"
"Watertown",900580490,"2012-2016","All","Number","Median Household Income",76175,"Western Region"
"Westbrook",900781680,"2012-2016","All","Number","Margins of Error",22393,"Eastern Region"
"Westbrook",900781680,"2012-2016","All","Number","Median Household Income",92721,"Eastern Region"
"West Hartford",900382590,"2012-2016","All","Number","Margins of Error",2924,"North Central Region"
"West Hartford",900382590,"2012-2016","All","Number","Median Household Income",91875,"North Central Region"
"West Haven",900982870,"2012-2016","All","Number","Margins of Error",2244,"South Central Region"
"West Haven",900982870,"2012-2016","All","Number","Median Household Income",50831,"South Central Region"
"Weston",900183430,"2012-2016","All","Number","Margins of Error",29065,"Southwest Region"
"Weston",900183430,"2012-2016","All","Number","Median Household Income",218152,"Southwest Region"
"Westport",900183500,"2012-2016","All","Number","Margins of Error",11181,"Southwest Region"
"Westport",900183500,"2012-2016","All","Number","Median Household Income",166307,"Southwest Region"
"Wethersfield",900384900,"2012-2016","All","Number","Margins of Error",4095,"Central Region"
"Wethersfield",900384900,"2012-2016","All","Number","Median Household Income",78371,"Central Region"
"Willington",901385950,"2012-2016","All","Number","Margins of Error",7240,"Eastern Region"
"Willington",901385950,"2012-2016","All","Number","Median Household Income",72237,"Eastern Region"
"Wilton",900186370,"2012-2016","All","Number","Margins of Error",21697,"Southwest Region"
"Wilton",900186370,"2012-2016","All","Number","Median Household Income",179844,"Southwest Region"
"Winchester",900586440,"2012-2016","All","Number","Margins of Error",8728,"Western Region"
"Winchester",900586440,"2012-2016","All","Number","Median Household Income",57429,"Western Region"
"Windham",901586790,"2012-2016","All","Number","Margins of Error",3004,"Eastern Region"
"Windham",901586790,"2012-2016","All","Number","Median Household Income",40603,"Eastern Region"
"Windsor",900387000,"2012-2016","All","Number","Margins of Error",6181,"North Central Region"
"Windsor",900387000,"2012-2016","All","Number","Median Household Income",82707,"North Central Region"
"Windsor Locks",900387070,"2012-2016","All","Number","Margins of Error",5348,"North Central Region"
"Windsor Locks",900387070,"2012-2016","All","Number","Median Household Income",66494,"North Central Region"
"Wolcott",900987560,"2012-2016","All","Number","Margins of Error",9008,"Western Region"
"Wolcott",900987560,"2012-2016","All","Number","Median Household Income",83828,"Western Region"
"Woodbridge",900987700,"2012-2016","All","Number","Margins of Error",21700,"South Central Region"
"Woodbridge",900987700,"2012-2016","All","Number","Median Household Income",136786,"South Central Region"
"Woodbury",900587910,"2012-2016","All","Number","Margins of Error",7016,"Western Region"
"Woodbury",900587910,"2012-2016","All","Number","Median Household Income",79387,"Western Region"
"Woodstock",901588190,"2012-2016","All","Number","Margins of Error",14713,"Eastern Region"
"Woodstock",901588190,"2012-2016","All","Number","Median Household Income",84700,"Eastern Region"
